Measurement Name :,20210616_Pairs_30C,,Generated On :,"16/06/2021, 17:04:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
Start Date/Time:,"16/06/2021, 15:53:16",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"16/06/2021, 17:03:11",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
16.06.21 15:53:18,0.03,192.55,160.69,196.54,189.14,164.75,167.74,146.02,190.56,180.16,160.96,135.06,169.39,156.38,183.23,169.66,144.45,140,153.71,198.84,165.56,164.21,168.84,171.03,,30,965,34,30.89,965D6-(E1);
16.06.21 15:53:33,0.28,191.7,156.12,195.4,194.54,154.78,170.48,142.87,193.12,166.65,177.38,142.35,170.21,169.93,161.5,190.84,165.84,163.93,147.87,186.6,171.58,165.84,181.27,154.51,,30,965,34,30.85,965D6-(E1);
16.06.21 15:53:48,0.53,180.16,151.58,188.58,189.43,159.07,166.11,147.87,193.12,203.75,160.96,139.21,190.56,148.66,148.4,173.78,133,133.77,159.07,182.95,192.83,160.96,202.3,164.75,,30,965,34,30.83,965D6-(E1);
16.06.21 15:54:03,0.78,189.43,173.78,197.4,198.55,172.13,161.5,152.38,204.62,213.97,164.21,137.91,189.14,154.24,202.88,166.11,169.39,165.29,188.86,189.71,184.64,182.67,184.35,177.66,,30,965,34,30.83,965D6-(E1);
16.06.21 15:54:18,1.03,220.79,177.93,216.04,214.27,160.69,179.05,165.29,207.52,210.45,181.27,153.98,181.27,184.07,194.26,215.15,171.03,192.26,189.43,174.61,189.43,191.98,193.12,188.01,,30,965,34,30.83,965D6-(E1);
16.06.21 15:54:33,1.28,204.91,166.93,202.59,209.86,181.55,175.44,149.19,203.17,195.11,191.41,158.53,188.58,190.84,177.93,197.69,158.26,161.77,161.23,184.07,199.7,186.6,168.02,169.39,,30,965,34,30.85,965D6-(E1);
16.06.21 15:54:48,1.53,210.15,181.83,208.98,203.75,181.27,199.99,152.64,213.09,193.69,173.23,141.56,197.69,168.84,162.31,180.44,174.33,181.83,197.69,181,192.26,196.54,185.76,175.16,,30,965,34,30.85,965D6-(E1);
16.06.21 15:55:03,1.78,204.04,172.96,216.04,201.14,163.12,190.56,158.8,199.41,186.89,157.73,153.98,177.1,169.93,176.55,181,154.78,162.85,182.39,169.93,184.92,176.55,176.27,159.34,,30,965,34,30.88,965D6-(E1);
16.06.21 15:55:18,2.03,201.14,177.93,205.49,205.49,182.11,178.49,158.53,204.33,206.36,145.76,143.92,183.51,144.18,183.23,183.23,161.23,171.85,173.23,195.4,195.97,172.13,195.4,175.72,,30,965,34,30.88,965D6-(E1);
16.06.21 15:55:33,2.28,208.11,178.21,207.52,207.23,165.29,178.77,153.71,202.3,196.83,172.4,153.71,189.14,171.58,181.27,205.78,172.96,180.44,199.13,179.05,195.69,180.16,193.12,184.64,,30,965,34,30.89,965D6-(E1);
16.06.21 15:55:48,2.53,199.99,160.69,192.55,198.84,176.82,169.11,146.81,201.72,179.88,165.29,126.34,168.56,172.68,165.02,162.58,153.71,165.29,165.29,159.34,200.28,168.56,178.21,167.47,,30,965,34,30.9,965D6-(E1);
16.06.21 15:56:03,2.78,207.52,155.05,200.57,200.57,163.66,174.06,152.91,200.57,199.7,172.96,159.61,188.58,169.39,182.11,169.93,152.91,181.83,166.93,193.4,202.01,176.27,188.3,160.69,,30,965,34,30.9,965D6-(E1);
16.06.21 15:56:18,3.03,216.63,175.99,211.62,201.14,168.29,184.64,157.19,199.41,210.45,181.83,157.46,183.51,174.33,168.56,199.41,154.24,152.64,183.23,179.6,184.64,183.79,184.35,179.6,,30,965,34,30.93,965D6-(E1);
16.06.21 15:56:33,3.28,216.04,163.39,213.97,208.69,182.67,174.06,158.8,207.52,195.4,145.5,149.19,185.76,178.21,216.33,187.17,182.95,176.55,193.12,178.21,195.4,188.01,203.75,171.03,,30,965,34,30.94,965D6-(E1);
16.06.21 15:56:48,3.53,215.74,172.96,203.17,203.17,176.27,186.32,150.25,221.98,204.91,166.38,147.08,176.27,213.38,163.39,195.11,175.44,211.91,182.95,174.89,187.45,193.97,212.79,174.06,,30,965,34,30.97,965D6-(E1);
16.06.21 15:57:03,3.78,202.88,182.95,209.28,208.98,175.99,169.66,158.53,206.94,185.76,172.4,148.93,171.85,180.44,191.13,186.89,179.88,196.83,191.7,220.19,207.23,196.83,220.19,178.21,,30,965,34,30.97,965D6-(E1);
16.06.21 15:57:18,4.03,219,184.07,212.79,199.41,184.92,192.55,156.12,203.46,177.38,169.11,163.12,186.04,180.44,221.68,187.45,166.65,191.41,189.99,183.23,165.56,197.98,196.54,156.38,,30,965,34,31.01,965D6-(E1);
