Tube.ID,Date,Run,Well,Sample.Type,Concentration,Sample.ID,Treatment,Fraction,Homo_vol
B1-Host,20220406,Initial,A1,Sample,NA,B1,Ambient,Host,100
B1-Holo,20220406,Initial,B1,Sample,NA,B1,Ambient,Holobiont,100
B2-Host,20220406,Initial,C1,Sample,NA,B2,Ambient,Host,100
B2-Holo,20220406,Initial,D1,Sample,NA,B2,Ambient,Holobiont,100
B13-Host,20220406,Initial,E1,Sample,NA,B13,High,Host,100
B13-Holo,20220406,Initial,F1,Sample,NA,B13,High,Holobiont,100
B14-Host,20220406,Initial,G1,Sample,NA,B14,High,Host,100
B14-Holo,20220406,Initial,H1,Sample,NA,B14,High,Holobiont,100
B1-Host,20220406,Initial,A2,Sample,NA,B1,Ambient,Host,100
B1-Holo,20220406,Initial,B2,Sample,NA,B1,Ambient,Holobiont,100
B2-Host,20220406,Initial,C2,Sample,NA,B2,Ambient,Host,100
B2-Holo,20220406,Initial,D2,Sample,NA,B2,Ambient,Holobiont,100
B13-Host,20220406,Initial,E2,Sample,NA,B13,High,Host,100
B13-Holo,20220406,Initial,F2,Sample,NA,B13,High,Holobiont,100
B14-Host,20220406,Initial,G2,Sample,NA,B14,High,Host,100
B14-Holo,20220406,Initial,H2,Sample,NA,B14,High,Holobiont,100
B1-Host,20220406,Initial,A3,Sample,NA,B1,Ambient,Host,100
B1-Holo,20220406,Initial,B3,Sample,NA,B1,Ambient,Holobiont,100
B2-Host,20220406,Initial,C3,Sample,NA,B2,Ambient,Host,100
B2-Holo,20220406,Initial,D3,Sample,NA,B2,Ambient,Holobiont,100
B13-Host,20220406,Initial,E3,Sample,NA,B13,High,Host,100
B13-Holo,20220406,Initial,F3,Sample,NA,B13,High,Holobiont,100
B14-Host,20220406,Initial,G3,Sample,NA,B14,High,Host,100
B14-Holo,20220406,Initial,H3,Sample,NA,B14,High,Holobiont,100
BLANK,20220406,Initial,A4,Blank,0,NA,NA,NA,NA
S1,20220406,Initial,B4,Standard,0.00901,NA,NA,NA,NA
S2,20220406,Initial,C4,Standard,0.01802,NA,NA,NA,NA
S3,20220406,Initial,D4,Standard,0.02703,NA,NA,NA,NA
S4,20220406,Initial,E4,Standard,0.03604,NA,NA,NA,NA
S5,20220406,Initial,F4,Standard,0.05406,NA,NA,NA,NA
S6,20220406,Initial,G4,Standard,0.0901,NA,NA,NA,NA
S7,20220406,Initial,H4,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,Initial,A5,Blank,0,NA,NA,NA,NA
