Well,485,Run
A1,1.042,Initial
B1,1.788,Initial
C1,0.529,Initial
D1,1.027,Initial
E1,0.241,Initial
F1,0.478,Initial
G1,0.355,Initial
H1,0.506,Initial
A2,1.017,Initial
B2,1.642,Initial
C2,0.586,Initial
D2,1.05,Initial
E2,0.253,Initial
F2,0.525,Initial
G2,0.371,Initial
H2,0.529,Initial
A3,1.092,Initial
B3,1.793,Initial
C3,0.61,Initial
D3,1.124,Initial
E3,0.266,Initial
F3,0.564,Initial
G3,0.387,Initial
H3,0.563,Initial
A4,0.077,Initial
B4,0.077,Initial
C4,0.094,Initial
D4,0.093,Initial
E4,0.095,Initial
F4,0.121,Initial
G4,0.168,Initial
H4,0.253,Initial
A5,0.079,Initial
B5,0.082,Initial
C5,0.097,Initial
D5,0.094,Initial
E5,0.096,Initial
F5,0.124,Initial
G5,0.169,Initial
H5,0.267,Initial
A6,0.08,Initial
B6,0.082,Initial
C6,0.094,Initial
D6,0.097,Initial
E6,0.103,Initial
F6,0.126,Initial
G6,0.172,Initial
H6,0.287,Initial
A7,0.446,Initial
B7,0.984,Initial
C7,0.188,Initial
D7,0.354,Initial
E7,0.122,Initial
F7,0.192,Initial
G7,0.144,Initial
H7,0.195,Initial
A8,0.434,Initial
B8,0.985,Initial
C8,0.222,Initial
D8,0.346,Initial
E8,0.119,Initial
F8,0.213,Initial
G8,0.138,Initial
H8,0.195,Initial
A9,0.439,Initial
B9,1.088,Initial
C9,0.21,Initial
D9,0.341,Initial
E9,0.121,Initial
F9,0.206,Initial
G9,0.15,Initial
H9,0.22,Initial
A10,0.045,Initial
B10,0.045,Initial
C10,0.046,Initial
D10,0.046,Initial
E10,0.048,Initial
F10,0.047,Initial
G10,0.046,Initial
H10,0.048,Initial
A11,0.045,Initial
B11,0.046,Initial
C11,0.046,Initial
D11,0.046,Initial
E11,0.047,Initial
F11,0.046,Initial
G11,0.046,Initial
H11,0.045,Initial
A12,0.045,Initial
B12,0.045,Initial
C12,0.045,Initial
D12,0.045,Initial
E12,0.045,Initial
F12,0.046,Initial
G12,0.045,Initial
H12,0.046,Initial
A1,0.108,1
B1,0.136,1
C1,0.112,1
D1,0.142,1
E1,0.129,1
F1,0.139,1
G1,0.167,1
H1,0.216,1
A2,0.106,1
B2,0.141,1
C2,0.121,1
D2,0.147,1
E2,0.133,1
F2,0.152,1
G2,0.165,1
H2,0.214,1
A3,0.111,1
B3,0.149,1
C3,0.12,1
D3,0.158,1
E3,0.13,1
F3,0.146,1
G3,0.174,1
H3,0.235,1
A4,0.432,1
B4,1.009,1
C4,0.167,1
D4,0.515,1
E4,0.156,1
F4,0.208,1
G4,0.197,1
H4,0.35,1
A5,0.434,1
B5,1.028,1
C5,0.168,1
D5,0.532,1
E5,0.166,1
F5,0.218,1
G5,0.199,1
H5,0.352,1
A6,0.452,1
B6,1.027,1
C6,0.169,1
D6,0.561,1
E6,0.166,1
F6,0.238,1
