TubeID,Sample.ID,Treatment,Date_counted,Tech,Squares_counted,Count1,Count2,Count3,Count4,Count5,Count6,Notes,CV
A-Symb,A,Ambient,20220425,ES,2,166,149,188,167,195,185,,9.86
B-Symb,B,Ambient,20220426,ES,4,147,152,167,188,172,187,,10.16
C-Symb,C,Ambient,20220425,ES,3,201,170,168,193,197,181,,7.62
D-Symb,D,Ambient,20220426,ES,3,118,120,105,120,97,114,,8.36
E-Symb,E,Ambient,20220426,ES,3,140,129,125,145,130,122,,6.74
F-Symb,F,Ambient,20220426,ES,9,109,135,143,124,125,144,dropped count: 93,10.27
G-Symb,G,Ambient,20220426,KD,6,166,169,142,147,144,143,dropped count: 112,8.09
H-Symb,H,Ambient,20220426,ES,9,27,15,16,28,23,12,,33.4
I-Symb,I,Ambient,20220420,ES,3,170,151,156,168,157,151,,5.21
J-Symb,J,Ambient,20220425,ES,3,156,162,177,154,179,176,dropped count: 126,6.76
K-Symb,K,Ambient,20220426,KD,3,174,149,139,132,146,177,,12.13
L-Symb,L,Ambient,20220425,ES,3,176,148,166,153,174,191,,9.44
M-Symb,M,High,20220425,ES,4,198,204,191,191,191,198,,2.76
N-Symb,N,High,20220425,ES,2,125,110,111,121,138,121,,8.48
O-Symb,O,High,20220425,ES,3,218,182,184,187,197,182,,7.34
P-Symb,P,High,20220426,ES,4,123,117,143,146,128,140,,8.9
Q-Symb,Q,High,20220420,ES,1,127,126,143,133,110,137,,8.81
R-Symb,R,High,20220425,ES,3,190,176,198,159,203,179,,8.78
S-Symb,S,High,20220420,ES,4,149,159,142,167,144,171,,7.84
T-Symb,T,High,20220425,ES,4,173,195,146,157,157,164,,10.31
U-Symb,U,High,20220426,ES,2,211,204,206,194,223,237,,7.2
V-Symb,V,High,20220426,ES,2,230,230,238,251,228,205,,6.54
W-Symb,W,High,20220425,ES,3,172,190,193,188,181,180,,4.22
X-Symb,X,High,20220426,KD,9,121,151,128,108,116,111,,12.8
