"Plot Title: 20719658"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20719658, SEN S/N: 20719658)","Coupler Detached (LGR S/N: 20719658)","Coupler Attached (LGR S/N: 20719658)","Host Connected (LGR S/N: 20719658)","Stopped (LGR S/N: 20719658)","End Of File (LGR S/N: 20719658)"
1,06/11/21 03:00:00 PM,33.391,Logged,,,,
2,06/11/21 03:10:00 PM,35.049,,,,,
3,06/11/21 03:20:00 PM,34.942,,,,,
4,06/11/21 03:30:00 PM,34.572,,,,,
5,06/11/21 03:40:00 PM,29.315,,,,,
6,06/11/21 03:50:00 PM,28.196,,,,,
7,06/11/21 04:00:00 PM,27.974,,,,,
8,06/11/21 04:10:00 PM,27.924,,,,,
9,06/11/21 04:20:00 PM,27.825,,,,,
10,06/11/21 04:30:00 PM,27.850,,,,,
11,06/11/21 04:40:00 PM,27.825,,,,,
12,06/11/21 04:50:00 PM,27.801,,,,,
13,06/11/21 05:00:00 PM,27.751,,,,,
14,06/11/21 05:10:00 PM,27.677,,,,,
15,06/11/21 05:20:00 PM,27.579,,,,,
16,06/11/21 05:30:00 PM,27.554,,,,,
17,06/11/21 05:40:00 PM,27.456,,,,,
18,06/11/21 05:50:00 PM,27.284,,,,,
19,06/11/21 06:00:00 PM,27.186,,,,,
20,06/11/21 06:10:00 PM,27.112,,,,,
21,06/11/21 06:20:00 PM,27.038,,,,,
22,06/11/21 06:30:00 PM,27.014,,,,,
23,06/11/21 06:40:00 PM,26.965,,,,,
24,06/11/21 06:50:00 PM,26.867,,,,,
25,06/11/21 07:00:00 PM,26.818,,,,,
26,06/11/21 07:10:00 PM,26.989,,,,,
27,06/11/21 07:20:00 PM,27.382,,,,,
28,06/11/21 07:30:00 PM,27.358,,,,,
29,06/11/21 07:40:00 PM,27.284,,,,,
30,06/11/21 07:50:00 PM,27.235,,,,,
31,06/11/21 08:00:00 PM,27.161,,,,,
32,06/11/21 08:10:00 PM,27.112,,,,,
33,06/11/21 08:20:00 PM,27.038,,,,,
34,06/11/21 08:30:00 PM,26.989,,,,,
35,06/11/21 08:40:00 PM,26.940,,,,,
36,06/11/21 08:50:00 PM,26.891,,,,,
37,06/11/21 09:00:00 PM,26.842,,,,,
38,06/11/21 09:10:00 PM,26.793,,,,,
39,06/11/21 09:20:00 PM,26.720,,,,,
40,06/11/21 09:30:00 PM,26.671,,,,,
41,06/11/21 09:40:00 PM,26.622,,,,,
42,06/11/21 09:50:00 PM,26.573,,,,,
43,06/11/21 10:00:00 PM,26.524,,,,,
44,06/11/21 10:10:00 PM,26.475,,,,,
45,06/11/21 10:20:00 PM,26.426,,,,,
46,06/11/21 10:30:00 PM,26.378,,,,,
47,06/11/21 10:40:00 PM,26.329,,,,,
48,06/11/21 10:50:00 PM,26.304,,,,,
49,06/11/21 11:00:00 PM,26.231,,,,,
50,06/11/21 11:10:00 PM,26.182,,,,,
51,06/11/21 11:20:00 PM,26.061,,,,,
52,06/11/21 11:30:00 PM,25.987,,,,,
53,06/11/21 11:40:00 PM,25.890,,,,,
54,06/11/21 11:50:00 PM,25.793,,,,,
55,06/12/21 12:00:00 AM,25.744,,,,,
56,06/12/21 12:10:00 AM,25.744,,,,,
57,06/12/21 12:20:00 AM,25.793,,,,,
58,06/12/21 12:30:00 AM,25.841,,,,,
59,06/12/21 12:40:00 AM,25.866,,,,,
60,06/12/21 12:50:00 AM,25.914,,,,,
61,06/12/21 01:00:00 AM,25.963,,,,,
62,06/12/21 01:10:00 AM,25.987,,,,,
