Logger,DateTime,Temp,Treatment
20946643,6/11/21 23:00,25.768,Ambient
20987159,6/11/21 23:00,25.744,Ambient
20987160,6/11/21 23:00,25.793,Ambient
20719656,6/11/21 23:00,26.329,High
20719658,6/11/21 23:00,26.231,High
20946645,6/11/21 23:00,26.304,High
20946643,6/11/21 23:10,25.72,Ambient
20987159,6/11/21 23:10,25.695,Ambient
20987160,6/11/21 23:10,25.744,Ambient
20719656,6/11/21 23:10,26.256,High
20719658,6/11/21 23:10,26.182,High
20946645,6/11/21 23:10,26.231,High
20946643,6/11/21 23:20,25.623,Ambient
20987159,6/11/21 23:20,25.623,Ambient
20987160,6/11/21 23:20,25.623,Ambient
20719656,6/11/21 23:20,26.158,High
20719658,6/11/21 23:20,26.061,High
20946645,6/11/21 23:20,26.085,High
20946643,6/11/21 23:30,25.525,Ambient
20987159,6/11/21 23:30,25.525,Ambient
20987160,6/11/21 23:30,25.525,Ambient
20719656,6/11/21 23:30,26.061,High
20719658,6/11/21 23:30,25.987,High
20946645,6/11/21 23:30,25.987,High
20946643,6/11/21 23:40,25.428,Ambient
20987159,6/11/21 23:40,25.477,Ambient
20987160,6/11/21 23:40,25.428,Ambient
20719656,6/11/21 23:40,25.939,High
20719658,6/11/21 23:40,25.89,High
20946645,6/11/21 23:40,25.866,High
20946643,6/11/21 23:50,25.355,Ambient
20987159,6/11/21 23:50,25.404,Ambient
20987160,6/11/21 23:50,25.355,Ambient
20719656,6/11/21 23:50,25.841,High
20719658,6/11/21 23:50,25.793,High
20946645,6/11/21 23:50,25.768,High
20946643,6/12/21 00:00,25.307,Ambient
20987159,6/12/21 00:00,25.355,Ambient
20987160,6/12/21 00:00,25.283,Ambient
20719656,6/12/21 00:00,25.768,High
20719658,6/12/21 00:00,25.744,High
20946645,6/12/21 00:00,25.695,High
20946643,6/12/21 00:10,25.283,Ambient
20987159,6/12/21 00:10,25.355,Ambient
20987160,6/12/21 00:10,25.283,Ambient
20719656,6/12/21 00:10,25.72,High
20719658,6/12/21 00:10,25.744,High
20946645,6/12/21 00:10,25.72,High
20946643,6/12/21 00:20,25.307,Ambient
20987159,6/12/21 00:20,25.38,Ambient
20987160,6/12/21 00:20,25.38,Ambient
20719656,6/12/21 00:20,25.768,High
20719658,6/12/21 00:20,25.793,High
20946645,6/12/21 00:20,25.72,High
20946643,6/12/21 00:30,25.331,Ambient
20987159,6/12/21 00:30,25.404,Ambient
20987160,6/12/21 00:30,25.477,Ambient
20719656,6/12/21 00:30,25.793,High
20719658,6/12/21 00:30,25.841,High
20946645,6/12/21 00:30,25.744,High
20946643,6/12/21 00:40,25.38,Ambient
20987159,6/12/21 00:40,25.477,Ambient
20987160,6/12/21 00:40,25.647,Ambient
20719656,6/12/21 00:40,25.89,High
20719658,6/12/21 00:40,25.866,High
20946645,6/12/21 00:40,25.768,High
20946643,6/12/21 00:50,25.477,Ambient
20987159,6/12/21 00:50,25.598,Ambient
20987160,6/12/21 00:50,25.793,Ambient
20719656,6/12/21 00:50,25.963,High
20719658,6/12/21 00:50,25.914,High
20946645,6/12/21 00:50,25.817,High
20946643,6/12/21 01:00,25.55,Ambient
20987159,6/12/21 01:00,25.671,Ambient
20987160,6/12/21 01:00,25.89,Ambient
20719656,6/12/21 01:00,26.012,High
20719658,6/12/21 01:00,25.963,High
20946645,6/12/21 01:00,25.866,High
20946643,6/12/21 01:10,25.623,Ambient
20987159,6/12/21 01:10,25.768,Ambient
20987160,6/12/21 01:10,25.963,Ambient
20719656,6/12/21 01:10,26.036,High
20719658,6/12/21 01:10,25.987,High
20946645,6/12/21 01:10,25.89,High
20946643,6/12/21 01:20,25.671,Ambient
20987159,6/12/21 01:20,25.817,Ambient
20987160,6/12/21 01:20,26.012,Ambient
20719656,6/12/21 01:20,25.987,High
20719658,6/12/21 01:20,25.963,High
20946645,6/12/21 01:20,25.89,High
20946643,6/12/21 01:30,25.695,Ambient
20987159,6/12/21 01:30,25.866,Ambient
20987160,6/12/21 01:30,26.061,Ambient
20719656,6/12/21 01:30,25.987,High
20719658,6/12/21 01:30,26.012,High
20946645,6/12/21 01:30,25.866,High
20946643,6/12/21 01:40,25.744,Ambient
20987159,6/12/21 01:40,25.914,Ambient
20987160,6/12/21 01:40,26.085,Ambient
20719656,6/12/21 01:40,25.987,High
20719658,6/12/21 01:40,25.987,High
20946645,6/12/21 01:40,25.866,High
20946643,6/12/21 01:50,25.768,Ambient
20987159,6/12/21 01:50,25.963,Ambient
20987160,6/12/21 01:50,26.109,Ambient
20719656,6/12/21 01:50,26.036,High
20719658,6/12/21 01:50,25.987,High
20946645,6/12/21 01:50,25.89,High
20946643,6/12/21 02:00,25.793,Ambient
20987159,6/12/21 02:00,26.036,Ambient
20987160,6/12/21 02:00,26.134,Ambient
20719656,6/12/21 02:00,26.061,High
20719658,6/12/21 02:00,26.012,High
20946645,6/12/21 02:00,25.963,High
20946643,6/12/21 02:10,25.817,Ambient
20987159,6/12/21 02:10,26.109,Ambient
20987160,6/12/21 02:10,26.158,Ambient
20719656,6/12/21 02:10,26.061,High
20719658,6/12/21 02:10,26.012,High
20946645,6/12/21 02:10,26.036,High
20946643,6/12/21 02:20,25.841,Ambient
20987159,6/12/21 02:20,26.134,Ambient
20987160,6/12/21 02:20,26.158,Ambient
20719656,6/12/21 02:20,26.036,High
20719658,6/12/21 02:20,26.012,High
20946645,6/12/21 02:20,26.085,High
20946643,6/12/21 02:30,25.89,Ambient
20987159,6/12/21 02:30,26.158,Ambient
20987160,6/12/21 02:30,26.182,Ambient
20719656,6/12/21 02:30,26.036,High
20719658,6/12/21 02:30,26.012,High
20946645,6/12/21 02:30,26.109,High
20946643,6/12/21 02:40,25.914,Ambient
20987159,6/12/21 02:40,26.207,Ambient
20987160,6/12/21 02:40,26.207,Ambient
20719656,6/12/21 02:40,26.036,High
20719658,6/12/21 02:40,26.012,High
20946645,6/12/21 02:40,26.134,High
20946643,6/12/21 02:50,25.939,Ambient
20987159,6/12/21 02:50,26.231,Ambient
20987160,6/12/21 02:50,26.231,Ambient
20719656,6/12/21 02:50,26.036,High
20719658,6/12/21 02:50,26.012,High
20946645,6/12/21 02:50,26.158,High
20946643,6/12/21 03:00,25.963,Ambient
20987159,6/12/21 03:00,26.256,Ambient
20987160,6/12/21 03:00,26.231,Ambient
20719656,6/12/21 03:00,26.036,High
20719658,6/12/21 03:00,26.012,High
20946645,6/12/21 03:00,26.158,High
20946643,6/12/21 03:10,25.987,Ambient
20987159,6/12/21 03:10,26.28,Ambient
20987160,6/12/21 03:10,26.256,Ambient
20719656,6/12/21 03:10,26.036,High
20719658,6/12/21 03:10,26.012,High
20946645,6/12/21 03:10,26.158,High
20946643,6/12/21 03:20,26.012,Ambient
20987159,6/12/21 03:20,26.304,Ambient
20987160,6/12/21 03:20,26.256,Ambient
20719656,6/12/21 03:20,26.036,High
20719658,6/12/21 03:20,26.012,High
20946645,6/12/21 03:20,26.158,High
20946643,6/12/21 03:30,26.036,Ambient
20987159,6/12/21 03:30,26.304,Ambient
20987160,6/12/21 03:30,26.28,Ambient
20719656,6/12/21 03:30,26.036,High
20719658,6/12/21 03:30,26.012,High
20946645,6/12/21 03:30,26.182,High
20946643,6/12/21 03:40,26.061,Ambient
20987159,6/12/21 03:40,26.329,Ambient
20987160,6/12/21 03:40,26.28,Ambient
20719656,6/12/21 03:40,26.036,High
20719658,6/12/21 03:40,26.012,High
20946645,6/12/21 03:40,26.182,High
20946643,6/12/21 03:50,26.061,Ambient
20987159,6/12/21 03:50,26.329,Ambient
20987160,6/12/21 03:50,26.304,Ambient
20719656,6/12/21 03:50,26.036,High
20719658,6/12/21 03:50,26.036,High
20946645,6/12/21 03:50,26.207,High
20946643,6/12/21 04:00,26.085,Ambient
20987159,6/12/21 04:00,26.353,Ambient
20987160,6/12/21 04:00,26.304,Ambient
20719656,6/12/21 04:00,26.036,High
20719658,6/12/21 04:00,26.036,High
20946645,6/12/21 04:00,26.207,High
20946643,6/12/21 04:10,26.109,Ambient
20987159,6/12/21 04:10,26.353,Ambient
20987160,6/12/21 04:10,26.329,Ambient
20719656,6/12/21 04:10,26.061,High
20719658,6/12/21 04:10,26.036,High
20946645,6/12/21 04:10,26.207,High
20946643,6/12/21 04:20,26.109,Ambient
20987159,6/12/21 04:20,26.353,Ambient
20987160,6/12/21 04:20,26.329,Ambient
20719656,6/12/21 04:20,26.061,High
20719658,6/12/21 04:20,26.061,High
20946645,6/12/21 04:20,26.207,High
20946643,6/12/21 04:30,26.109,Ambient
20987159,6/12/21 04:30,26.353,Ambient
20987160,6/12/21 04:30,26.304,Ambient
20719656,6/12/21 04:30,26.061,High
20719658,6/12/21 04:30,26.036,High
20946645,6/12/21 04:30,26.207,High
20946643,6/12/21 04:40,26.109,Ambient
20987159,6/12/21 04:40,26.353,Ambient
20987160,6/12/21 04:40,26.329,Ambient
20719656,6/12/21 04:40,26.061,High
20719658,6/12/21 04:40,26.036,High
20946645,6/12/21 04:40,26.207,High
20946643,6/12/21 04:50,26.109,Ambient
20987159,6/12/21 04:50,26.353,Ambient
20987160,6/12/21 04:50,26.329,Ambient
20719656,6/12/21 04:50,26.085,High
20719658,6/12/21 04:50,26.036,High
20946645,6/12/21 04:50,26.207,High
20946643,6/12/21 05:00,26.134,Ambient
20987159,6/12/21 05:00,26.353,Ambient
20987160,6/12/21 05:00,26.329,Ambient
20719656,6/12/21 05:00,26.085,High
20719658,6/12/21 05:00,26.012,High
20946645,6/12/21 05:00,26.207,High
20946643,6/12/21 05:10,26.134,Ambient
20987159,6/12/21 05:10,26.353,Ambient
20987160,6/12/21 05:10,26.329,Ambient
20719656,6/12/21 05:10,26.085,High
20719658,6/12/21 05:10,26.012,High
20946645,6/12/21 05:10,26.207,High
20946643,6/12/21 05:20,26.134,Ambient
20987159,6/12/21 05:20,26.353,Ambient
20987160,6/12/21 05:20,26.329,Ambient
20719656,6/12/21 05:20,26.085,High
20719658,6/12/21 05:20,26.012,High
20946645,6/12/21 05:20,26.207,High
20946643,6/12/21 05:30,26.134,Ambient
20987159,6/12/21 05:30,26.353,Ambient
20987160,6/12/21 05:30,26.329,Ambient
20719656,6/12/21 05:30,26.061,High
20719658,6/12/21 05:30,26.036,High
20946645,6/12/21 05:30,26.182,High
20946643,6/12/21 05:40,26.134,Ambient
20987159,6/12/21 05:40,26.329,Ambient
20987160,6/12/21 05:40,26.329,Ambient
20719656,6/12/21 05:40,26.061,High
20719658,6/12/21 05:40,26.085,High
20946645,6/12/21 05:40,26.182,High
20946643,6/12/21 05:50,26.158,Ambient
20987159,6/12/21 05:50,26.329,Ambient
20987160,6/12/21 05:50,26.353,Ambient
20719656,6/12/21 05:50,26.085,High
20719658,6/12/21 05:50,26.158,High
20946645,6/12/21 05:50,26.207,High
20946643,6/12/21 06:00,26.182,Ambient
20987159,6/12/21 06:00,26.329,Ambient
20987160,6/12/21 06:00,26.353,Ambient
20719656,6/12/21 06:00,26.085,High
20719658,6/12/21 06:00,26.182,High
20946645,6/12/21 06:00,26.207,High
20946643,6/12/21 06:10,26.207,Ambient
20987159,6/12/21 06:10,26.353,Ambient
20987160,6/12/21 06:10,26.378,Ambient
20719656,6/12/21 06:10,26.109,High
20719658,6/12/21 06:10,26.207,High
20946645,6/12/21 06:10,26.231,High
20946643,6/12/21 06:20,26.231,Ambient
20987159,6/12/21 06:20,26.353,Ambient
20987160,6/12/21 06:20,26.378,Ambient
20719656,6/12/21 06:20,26.134,High
20719658,6/12/21 06:20,26.231,High
20946645,6/12/21 06:20,26.256,High
20946643,6/12/21 06:30,26.256,Ambient
20987159,6/12/21 06:30,26.353,Ambient
20987160,6/12/21 06:30,26.402,Ambient
20719656,6/12/21 06:30,26.158,High
20719658,6/12/21 06:30,26.231,High
20946645,6/12/21 06:30,26.256,High
20946643,6/12/21 06:40,26.256,Ambient
20987159,6/12/21 06:40,26.378,Ambient
20987160,6/12/21 06:40,26.426,Ambient
20719656,6/12/21 06:40,26.158,High
20719658,6/12/21 06:40,26.256,High
20946645,6/12/21 06:40,26.28,High
20946643,6/12/21 06:50,26.28,Ambient
20987159,6/12/21 06:50,26.378,Ambient
20987160,6/12/21 06:50,26.426,Ambient
20719656,6/12/21 06:50,26.207,High
20719658,6/12/21 06:50,26.28,High
20946645,6/12/21 06:50,26.304,High
20946643,6/12/21 07:00,26.304,Ambient
20987159,6/12/21 07:00,26.402,Ambient
20987160,6/12/21 07:00,26.451,Ambient
20719656,6/12/21 07:00,26.207,High
20719658,6/12/21 07:00,26.304,High
20946645,6/12/21 07:00,26.329,High
20946643,6/12/21 07:10,26.304,Ambient
20987159,6/12/21 07:10,26.402,Ambient
20987160,6/12/21 07:10,26.451,Ambient
20719656,6/12/21 07:10,26.231,High
20719658,6/12/21 07:10,26.304,High
20946645,6/12/21 07:10,26.353,High
20946643,6/12/21 07:20,26.304,Ambient
20987159,6/12/21 07:20,26.402,Ambient
20987160,6/12/21 07:20,26.451,Ambient
20719656,6/12/21 07:20,26.256,High
20719658,6/12/21 07:20,26.329,High
20946645,6/12/21 07:20,26.378,High
20946643,6/12/21 07:30,26.329,Ambient
20987159,6/12/21 07:30,26.402,Ambient
20987160,6/12/21 07:30,26.475,Ambient
20719656,6/12/21 07:30,26.256,High
20719658,6/12/21 07:30,26.329,High
20946645,6/12/21 07:30,26.378,High
20946643,6/12/21 07:40,26.329,Ambient
20987159,6/12/21 07:40,26.402,Ambient
20987160,6/12/21 07:40,26.475,Ambient
20719656,6/12/21 07:40,26.28,High
20719658,6/12/21 07:40,26.353,High
20946645,6/12/21 07:40,26.378,High
20946643,6/12/21 07:50,26.353,Ambient
20987159,6/12/21 07:50,26.426,Ambient
20987160,6/12/21 07:50,26.475,Ambient
20719656,6/12/21 07:50,26.304,High
20719658,6/12/21 07:50,26.378,High
20946645,6/12/21 07:50,26.402,High
20946643,6/12/21 08:00,26.378,Ambient
20987159,6/12/21 08:00,26.451,Ambient
20987160,6/12/21 08:00,26.5,Ambient
20719656,6/12/21 08:00,26.304,High
20719658,6/12/21 08:00,26.378,High
20946645,6/12/21 08:00,26.402,High
20946643,6/12/21 08:10,26.402,Ambient
20987159,6/12/21 08:10,26.451,Ambient
20987160,6/12/21 08:10,26.524,Ambient
20719656,6/12/21 08:10,26.353,High
20719658,6/12/21 08:10,26.402,High
20946645,6/12/21 08:10,26.426,High
20946643,6/12/21 08:20,26.426,Ambient
20987159,6/12/21 08:20,26.475,Ambient
20987160,6/12/21 08:20,26.524,Ambient
20719656,6/12/21 08:20,26.378,High
20719658,6/12/21 08:20,26.426,High
20946645,6/12/21 08:20,26.451,High
20946643,6/12/21 08:30,26.451,Ambient
20987159,6/12/21 08:30,26.5,Ambient
20987160,6/12/21 08:30,26.549,Ambient
20719656,6/12/21 08:30,26.426,High
20719658,6/12/21 08:30,26.451,High
20946645,6/12/21 08:30,26.475,High
20946643,6/12/21 08:40,26.475,Ambient
20987159,6/12/21 08:40,26.5,Ambient
20987160,6/12/21 08:40,26.549,Ambient
20719656,6/12/21 08:40,26.451,High
20719658,6/12/21 08:40,26.475,High
20946645,6/12/21 08:40,26.5,High
20946643,6/12/21 08:50,26.5,Ambient
20987159,6/12/21 08:50,26.5,Ambient
20987160,6/12/21 08:50,26.573,Ambient
20719656,6/12/21 08:50,26.5,High
20719658,6/12/21 08:50,26.5,High
20946645,6/12/21 08:50,26.524,High
20946643,6/12/21 09:00,26.524,Ambient
20987159,6/12/21 09:00,26.524,Ambient
20987160,6/12/21 09:00,26.598,Ambient
20719656,6/12/21 09:00,26.524,High
20719658,6/12/21 09:00,26.549,High
20946645,6/12/21 09:00,26.549,High
20946643,6/12/21 09:10,26.549,Ambient
20987159,6/12/21 09:10,26.524,Ambient
20987160,6/12/21 09:10,26.622,Ambient
20719656,6/12/21 09:10,26.549,High
20719658,6/12/21 09:10,26.573,High
20946645,6/12/21 09:10,26.598,High
20946643,6/12/21 09:20,26.549,Ambient
20987159,6/12/21 09:20,26.549,Ambient
20987160,6/12/21 09:20,26.622,Ambient
20719656,6/12/21 09:20,26.573,High
20719658,6/12/21 09:20,26.598,High
20946645,6/12/21 09:20,26.622,High
20946643,6/12/21 09:30,26.573,Ambient
20987159,6/12/21 09:30,26.549,Ambient
20987160,6/12/21 09:30,26.646,Ambient
20719656,6/12/21 09:30,26.622,High
20719658,6/12/21 09:30,26.622,High
20946645,6/12/21 09:30,26.646,High
20946643,6/12/21 09:40,26.598,Ambient
20987159,6/12/21 09:40,26.573,Ambient
20987160,6/12/21 09:40,26.695,Ambient
20719656,6/12/21 09:40,26.646,High
20719658,6/12/21 09:40,26.646,High
20946645,6/12/21 09:40,26.671,High
20946643,6/12/21 09:50,26.646,Ambient
20987159,6/12/21 09:50,26.598,Ambient
20987160,6/12/21 09:50,26.72,Ambient
20719656,6/12/21 09:50,26.72,High
20719658,6/12/21 09:50,26.72,High
20946645,6/12/21 09:50,26.744,High
20946643,6/12/21 10:00,26.695,Ambient
20987159,6/12/21 10:00,26.671,Ambient
20987160,6/12/21 10:00,26.769,Ambient
20719656,6/12/21 10:00,26.72,High
20719658,6/12/21 10:00,26.695,High
20946645,6/12/21 10:00,26.744,High
20946643,6/12/21 10:10,26.695,Ambient
20987159,6/12/21 10:10,26.646,Ambient
20987160,6/12/21 10:10,26.769,Ambient
20719656,6/12/21 10:10,26.744,High
20719658,6/12/21 10:10,26.695,High
20946645,6/12/21 10:10,26.769,High
20946643,6/12/21 10:20,26.72,Ambient
20987159,6/12/21 10:20,26.671,Ambient
20987160,6/12/21 10:20,26.793,Ambient
20719656,6/12/21 10:20,26.769,High
20719658,6/12/21 10:20,26.72,High
20946645,6/12/21 10:20,26.793,High
20946643,6/12/21 10:30,26.744,Ambient
20987159,6/12/21 10:30,26.695,Ambient
20987160,6/12/21 10:30,26.793,Ambient
20719656,6/12/21 10:30,26.769,High
20719658,6/12/21 10:30,26.72,High
20946645,6/12/21 10:30,26.818,High
20946643,6/12/21 10:40,26.769,Ambient
20987159,6/12/21 10:40,26.695,Ambient
20987160,6/12/21 10:40,26.842,Ambient
20719656,6/12/21 10:40,26.793,High
20719658,6/12/21 10:40,26.744,High
20946645,6/12/21 10:40,26.842,High
20946643,6/12/21 10:50,26.793,Ambient
20987159,6/12/21 10:50,26.72,Ambient
20987160,6/12/21 10:50,26.867,Ambient
20719656,6/12/21 10:50,26.818,High
20719658,6/12/21 10:50,26.769,High
20946645,6/12/21 10:50,26.867,High
20946643,6/12/21 11:00,26.842,Ambient
20987159,6/12/21 11:00,26.769,Ambient
20987160,6/12/21 11:00,26.916,Ambient
20719656,6/12/21 11:00,26.867,High
20719658,6/12/21 11:00,26.793,High
20946645,6/12/21 11:00,26.916,High
20946643,6/12/21 11:10,26.867,Ambient
20987159,6/12/21 11:10,26.793,Ambient
20987160,6/12/21 11:10,26.94,Ambient
20719656,6/12/21 11:10,26.891,High
20719658,6/12/21 11:10,26.818,High
20946645,6/12/21 11:10,26.94,High
20946643,6/12/21 11:20,26.891,Ambient
20987159,6/12/21 11:20,26.818,Ambient
20987160,6/12/21 11:20,26.965,Ambient
20719656,6/12/21 11:20,26.916,High
20719658,6/12/21 11:20,26.842,High
20946645,6/12/21 11:20,26.989,High
20946643,6/12/21 11:30,26.94,Ambient
20987159,6/12/21 11:30,26.842,Ambient
