label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark-13C_Ambient-Pool_I19,Dark-13C_Ambient-Pool_I20,Dark-13C_High-Pool_I39,Dark-13C_High-Pool_I40
,1,1,1,611.145996,12.85,0.654106,[M-H]-,C12 PARENT,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.14,2.097275,611.145996,0,0,0,0,0,2139.34,1049.7,716.71,1264.32,746.11,1929.64,945.92,1265.48,928.95,730.75,692.8,1890.23,1855.2,899.71,843.39,776.85,705.3,924.91,1281.97,0,2163.64,857.36,1841.91,1259.36,0,830.83,0,909.92
,1,2,0,612.149109,12.857,0.133945,,C13-label-1,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.147,1.695011,611.145996,0,0,0,0,0,779.95,0,0,739.03,0,760.84,0,0,0,0,0,0,951.42,0,0,0,0,0,0,0,689.37,0,1193.48,682.22,0,0,0,0
,1,3,0,614.155151,12.855,0.141119,,C13-label-3,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.145,0.596284,611.145996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.6,781.23,0,0,0,0,0,0,693.71,843.78,0,0,0,0,0,0
,4,4,30,145.098419,12.75,0.852655,[M-H]-,C12 PARENT,Lysine,Lysine,C6H14N2O2,0.08,1.15678,145.098419,1390.02,1240.48,803.69,752.73,725.84,888161.19,1155906.38,360438.41,429234,535975.06,359283.28,383138.75,444091.78,363586.34,171604.36,167270.39,303620.53,1280281,924146.69,489227.5,501971.47,979106.19,1628001.62,672316.44,212159.02,725260.81,579546.19,371507.09,386644.59,252843.55,406210.41,118113.1,238410.36
,4,12,28,146.101807,12.713,0.850442,,C13-label-1,Lysine,Lysine,C6H14N2O2,0.043,1.357714,145.098419,0,0,0,0,0,60001.54,77013.05,23353.84,30714.71,38074,22246.44,27016.99,28755.96,26021.59,11692.43,12291.02,20411.71,94810.06,68709.55,38292.64,37775.38,72790.31,118950.91,51645.71,15965.59,54259.86,43136.06,27333.89,30381.18,19791.77,30787.16,10608.64,18686.33
,4,13,14,147.105194,12.734,0.843354,,C13-label-2,Lysine,Lysine,C6H14N2O2,0.064,1.555908,145.098419,0,0,0,0,0,1012.06,2117.38,0,798.86,669,0,647.23,0,772.04,0,553.56,0,14873.01,13194.33,6172.55,7904.53,14262.48,20085.09,8791.07,3419.84,11551.79,11061.04,6713.51,7031.12,0,714.67,0,0
,4,14,12,148.108536,12.716,0.844362,,C13-label-3,Lysine,Lysine,C6H14N2O2,0.046,1.545368,145.098419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17398.93,12902.46,4312.69,6981.23,12498.17,19388.27,8056.65,4842.74,11104.58,11489.25,5863.21,6882.1,0,0,0,0
,4,15,12,149.111862,12.725,0.842286,,C13-label-4,Lysine,Lysine,C6H14N2O2,0.055,1.330307,145.098419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10915.52,8974.36,4027.68,4963.83,10685.34,10363.61,6160.75,3164.74,6441.21,8579.18,3407.79,4166.16,0,0,0,0
,4,16,11,150.11525,12.742,0.839062,,C13-label-5,Lysine,Lysine,C6H14N2O2,0.072,1.52471,145.098419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4705.63,3225.75,1147.65,2039.68,3160.26,2596.12,2524.85,1793.7,1377.88,3403.19,715.42,1234.74,0,0,0,0
,4,17,0,151.118515,12.707,0.137834,,C13-label-6,Lysine,Lysine,C6H14N2O2,0.037,0.908752,145.098419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.67,621.43,0,0,701.51,767.3,0,0,0,0,569.4,614.59,0,0,0,0
,18,18,28,742.070374,12.644,0.847671,[M-H]-,C12 PARENT,NADP+,NADP+,C21H28N7O17P3,0.004,2.961002,742.070374,0,0,0,0,0,18524.94,22080.48,16150.61,14374.17,15213.36,18444.13,47213.06,42206.3,24988.83,18569.99,17156.21,36294.15,31542.43,17404.69,16692.04,8415.41,13203.22,28890.16,46296.28,26533.57,47368.48,52299.62,23762.69,32800.21,13099.74,27216.92,18151.44,15369.27
,18,19,23,743.073181,12.644,0.843979,,C13-label-1,NADP+,NADP+,C21H28N7O17P3,0.004,2.217753,742.070374,0,0,0,0,0,5759.27,6134.94,4071.45,2679.08,1829.61,4903.51,12920.25,10810.27,6162.27,4723.57,4247.16,10021.5,7996.27,4636.23,3182.31,939.2,2537.34,8310.84,10618.46,8916.79,16691,13534.8,5576.95,8787.74,2765.74,6947.21,5969.94,4576.75
,18,20,7,744.075256,12.665,0.835121,,C13-label-2,NADP+,NADP+,C21H28N7O17P3,0.025,0.492169,742.070374,0,0,0,0,0,1229.57,1100.69,0,878.1,774.49,727.61,2167.72,1132.88,1831.9,927.23,0,955.59,4047.62,1218.11,1016.4,0,823.79,1318.64,3371.12,3308.44,6485.07,4529.18,3096.24,3312.94,929.83,2042.33,749.4,808.59
,18,25,3,745.078491,12.733,0.815349,,C13-label-3,NADP+,NADP+,C21H28N7O17P3,0.093,0.327671,742.070374,0,0,0,0,0,727.92,0,0,861.5,0,0,0,1526.08,0,0,0,1684.91,1068.78,894.51,0,935.5,773.66,987.83,2421.07,977.06,2421.65,2691.3,750.08,1484.48,708.2,0,0,795.35
,18,21,0,746.08075,12.73,0.160066,,C13-label-4,NADP+,NADP+,C21H28N7O17P3,0.09,1.145307,742.070374,0,0,0,0,0,0,0,0,660.42,0,0,647.25,0,0,0,0,1090.64,822.56,914.75,768.77,841.35,0,1124.49,1898.41,831.5,1154.46,0,823.14,967.23,0,0,0,0
,18,22,0,747.083069,12.681,0.144605,,C13-label-5,NADP+,NADP+,C21H28N7O17P3,0.041,2.53263,742.070374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.17,0,1536.3,0,0,704.1,0,0,0,0,0,0
,26,26,28,161.093445,13.075,0.851526,[M-H]-,C12 PARENT,5-Hydroxylysine,5-Hydroxylysine,C6H14N2O3,0.965,1.704965,161.093445,0,0,464.43,0,785.79,87353.66,101314.25,30408.47,53680.07,53771.48,37055.84,59238.35,48263.3,43511.22,20265.49,18795.09,39045.52,113839.46,90294.12,49900.79,56892.86,94570.01,145416.2,67330.49,30392.08,68086.35,85208.91,51812.59,48022.69,31084.55,45796.38,13154.21,16522.57
,26,30,26,162.096786,12.921,0.844195,,C13-label-1,5-Hydroxylysine,5-Hydroxylysine,C6H14N2O3,0.811,1.694412,161.093445,0,0,0,0,512.4,5874.01,7477.79,1067.43,3304.89,3909.62,1967.34,5253.67,1664.73,2483.37,1432.41,828.26,2392.46,7098.13,6694.23,2131.53,4847.09,6042.87,7237.63,4510.24,1741.18,5861.66,6335.08,3545.12,3448.14,1096.69,3014.07,677.42,791.09
,29,29,5,191.02005,11.521,0.774637,[M-H]-,C12 PARENT,Citrate,Citrate,C6H8O7,0.199,1.677495,191.02005,151379.08,49288.08,20887.7,18754.92,24301.68,1306042.38,1091802.38,333905.91,2797937.25,771698.81,1290599.12,1046535.06,448175,227412.42,0,207853.42,253893.77,3049951.25,1643656.62,136697.05,414321.75,732383.5,1224694.75,785903.56,112204.77,1004934.19,3234090.75,784388.19,384785.28,115301.19,385347.28,220237.62,174323.3
,29,38,8,192.023422,11.664,0.673146,,C13-label-1,Citrate,Citrate,C6H8O7,0.056,1.748193,191.02005,8494.04,1539.86,1158.58,3172.95,2070.58,103560.06,72162.19,29983.11,211313.98,18128.56,112793.48,82924.52,29909.97,17484.54,6382.89,53878.84,20222.38,824621.06,411721.5,31113.48,105181.77,157385.2,310512,156737.86,18715.12,330613.53,816363.81,205715.31,110408.9,15537.47,43333.05,34337.14,29052.65
,29,39,7,193.026596,11.82,0.822937,,C13-label-2,Citrate,Citrate,C6H8O7,0.1,0.790503,191.02005,2094.49,1197.71,2718.69,1044.4,1468.63,15544.5,1976.93,5690.43,33203.42,1697.24,28399.66,19586.69,1681.13,3472.45,4659.35,4012.45,4908,1012006.69,500695.84,38396.07,127143.78,192917.02,371179.84,153570.89,20714.36,407999.41,926051.94,229130.19,129759.91,5311.64,7325.61,2523.41,4486.55
,29,40,6,194.03009,11.736,0.812265,,C13-label-3,Citrate,Citrate,C6H8O7,0.016,1.57283,191.02005,0,0,1004.89,1100.83,1832.69,21568.23,3992.84,9000.41,45245.88,2945.68,43948.32,24088.69,1540.19,3586.17,5908.61,5616.1,6079.95,1148995.38,575950.69,94967.24,148035.88,217297.56,408175.62,168750.78,22959.66,416427,973251.31,231526.05,134233.41,5930.27,5629.84,1026.99,6324.55
,29,41,6,195.033676,11.754,0.677239,,C13-label-4,Citrate,Citrate,C6H8O7,0.034,2.738292,191.02005,1784.29,1250.64,2864.96,2559.05,2777.78,15350.5,7329.38,8867.41,37755.92,0,32286.28,0,4561.92,4289.64,5212.81,5843,7284.22,784516.69,432476.25,35138.19,110415.27,151387.31,273730.78,165379.34,21860.1,278033.38,608492.94,162962.88,101422.34,6358.54,1857.78,2920.52,5774.36
,29,42,6,196.036865,11.772,0.807504,,C13-label-5,Citrate,Citrate,C6H8O7,0.052,1.868075,191.02005,1526.73,872.08,757.75,820.59,840.25,5931.85,1141.48,1939.61,15781.25,877.03,9956.5,7735.8,1849.81,1200.41,1094.17,2209.2,2204.41,306077.94,177830.33,32926.8,48007.53,59589.81,99606.34,56728.93,7068.42,107074.38,233462.98,63203.8,38149.81,2529.74,1994.6,1108.77,2752.5
,29,43,7,197.039978,11.895,0.800524,,C13-label-6,Citrate,Citrate,C6H8O7,0.175,0.619521,191.02005,0,0,0,0,0,0,700.61,859.01,2431.14,0,733.61,1100.11,630.6,0,580.24,0,0,49847.92,24589.54,959.43,6736.87,8381.72,15923.71,8515.52,769.23,19021.24,29416.93,11822.89,6641.51,0,0,0,0
,44,44,28,173.10463,12.18,0.852966,[M-H]-,C12 PARENT,Arginine,Arginine,C6H14N4O2,0.57,1.322218,173.10463,1375.47,1037.46,626.82,578.5,634.36,36169.57,131470.86,102181.62,13677.43,65204.88,8596.19,5979.35,86473.37,56731,67920.81,67616.16,42834.98,9766.94,17965.45,85865.65,23187.54,72138.71,64926.86,65214.02,20642.02,71124.99,10316.73,8938.12,10613.62,31476.69,64307.05,47762.7,261233.11
,44,48,20,174.107925,12.093,0.842233,,C13-label-1,Arginine,Arginine,C6H14N4O2,0.483,0.964039,173.10463,0,0,0,0,0,2048.67,8439.8,6422.44,699.2,4356.38,582.64,0,6642.56,4455.31,3205.8,4228.05,2854.98,0,1097.41,9284.65,1306.91,6959,7413.56,8174.77,1826.5,7389.13,720,485.88,985.42,2070.07,5734.69,4894.57,19937.49
,47,47,28,131.082733,12.536,0.849749,[M-H]-,C12 PARENT,Ornithine,Ornithine,C5H12N2O2,0.956,1.047653,131.082733,0,872,758.85,624.68,591.15,109081.72,280196.09,180055.42,46240.29,158954.2,34754.07,77133.13,229796.25,135838.66,93350.66,109123.28,99730.59,81737.57,104601.57,179726.67,56583.82,138093.8,215891.33,294522.28,60258.69,94734.66,38360.44,42324.14,49564.6,43971.72,49004.11,88517.9,104468.35
,47,53,27,132.086136,12.492,0.842248,,C13-label-1,Ornithine,Ornithine,C5H12N2O2,0.912,1.38626,131.082733,0,0,0,0,0,5561.95,15511.22,10691.44,2926.23,8758.78,1177.6,2953.96,12219.78,7523.59,5439.37,5334.2,6752.47,8401.05,8935,10186.14,4339.22,8705.95,16260.55,20001.71,4705.26,9188.69,5626.89,4992.16,6192.02,2675.58,4751.46,5551.71,6636.28
,47,54,10,133.089493,12.487,0.842097,,C13-label-2,Ornithine,Ornithine,C5H12N2O2,0.907,1.375809,131.082733,0,0,0,0,0,0,0,542.57,0,0,0,0,0,0,0,0,0,4113.19,3630.87,963.74,2457.87,2357.11,4632.03,5597.69,2043.91,5354.03,1504.14,1298.65,2467.54,0,0,0,0
,47,55,7,134.092834,12.486,0.839782,,C13-label-3,Ornithine,Ornithine,C5H12N2O2,0.906,1.251722,131.082733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.72,0,1393.25,2347.52,662.97,819.11,1202.12,3146.73,3045.62,919.3,3679.66,1909.18,1989.57,1816.61,0,0,0,0
,56,56,24,187.120468,11.695,0.840682,[M-H]-,C12 PARENT,Homoarginine,Homoarginine,C7H16N4O2,0.255,2.201727,187.120468,0,0,0,0,0,21941.05,24603.04,8145.7,13270.71,14913.75,13321.3,15814.48,17225.84,13675.84,7338.32,7484.62,11920.98,26188.02,22399.57,13505.6,13600.73,23491.04,30514.44,18689.8,9505,19116.03,17399.65,16422.8,15030.56,8382.03,14173.51,4536.07,6346.17
,56,59,6,188.123596,11.723,0.778948,,C13-label-1,Homoarginine,Homoarginine,C7H16N4O2,0.283,1.054437,187.120468,0,0,0,534.89,0,2264.18,1295.16,696.82,1274.29,823.88,1688.24,790.5,1799.17,822.44,0,629.67,616.73,1502.57,1660.45,1596.7,1232.01,1311.25,4268.32,2385.07,636.79,2134,1301.46,1133.27,735.62,669.86,1014.3,0,536.66
