Measurement Name :,20210618_Mcap_641_30C_Run1,,Generated On :,"18/06/2021, 17:27:18",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"18/06/2021, 16:31:26",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"18/06/2021, 17:26:43",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
18.06.21 16:31:28,0.03,175.99,186.89,180.16,193.12,158.26,165.84,184.35,186.04,185.2,184.64,193.69,174.33,165.56,181.27,195.69,189.43,188.58,172.68,205.78,200.85,176.82,167.2,184.35,186.32,,30,965,34,30.58,965D6-(E1);
18.06.21 16:31:43,0.28,198.55,194.26,203.17,198.55,179.6,180.44,208.98,194.54,184.35,178.77,182.39,209.57,192.55,167.74,191.41,192.83,188.58,204.62,222.28,196.54,181.27,193.4,209.28,202.88,,30,965,34,30.61,965D6-(E1);
18.06.21 16:31:58,0.53,196.26,211.33,186.32,206.94,168.84,175.99,189.71,197.4,183.79,202.88,196.83,207.52,191.98,179.88,185.76,199.99,200.85,202.01,214.56,192.83,172.68,174.33,193.69,199.7,,30,965,34,30.65,965D6-(E1);
18.06.21 16:32:13,0.78,193.69,193.69,184.64,204.33,186.04,177.38,194.26,195.69,198.55,206.65,199.99,190.28,178.49,189.71,192.26,187.17,208.98,211.91,192.55,207.82,172.4,181,214.86,196.83,,30,965,34,30.68,965D6-(E1);
18.06.21 16:32:28,1.03,179.05,185.2,197.12,198.55,170.48,188.3,170.76,194.83,177.38,167.2,188.58,183.79,162.58,159.88,184.35,191.41,191.13,196.54,207.23,189.14,188.01,186.32,216.63,188.86,,30,965,34,30.69,965D6-(E1);
18.06.21 16:32:43,1.28,195.97,200.28,193.69,212.5,184.64,184.64,205.78,198.55,196.83,189.14,199.41,196.26,170.76,202.3,181.83,190.84,181.55,179.88,224.97,206.07,191.13,187.45,205.2,209.86,,30,965,34,30.72,965D6-(E1);
18.06.21 16:32:58,1.53,196.83,201.14,180.16,201.72,179.05,186.89,184.07,197.4,210.45,176.27,186.04,197.4,163.66,180.16,183.23,177.38,165.84,194.26,186.89,193.97,177.66,187.17,203.75,189.14,,30,965,34,30.75,965D6-(E1);
18.06.21 16:33:13,1.78,169.39,190.84,181.27,196.54,185.76,183.23,183.79,200.28,165.02,188.3,180.16,190.56,171.85,187.73,175.16,199.99,186.89,182.39,179.05,194.83,185.76,183.51,211.91,186.6,,30,965,34,30.78,965D6-(E1);
18.06.21 16:33:28,2.03,197.4,211.03,193.4,214.27,190.28,206.65,195.69,204.91,202.3,193.4,208.4,203.46,191.7,199.7,194.54,198.84,219.89,195.4,214.86,210.74,195.97,193.69,221.98,197.69,,30,965,34,30.82,965D6-(E1);
18.06.21 16:33:43,2.28,203.17,213.38,181.27,213.09,194.54,192.55,197.4,203.17,189.99,182.95,193.97,208.98,186.89,195.11,202.3,192.26,175.16,191.13,210.74,194.26,185.76,192.26,216.04,195.69,,30,965,34,30.83,965D6-(E1);
18.06.21 16:33:58,2.53,188.01,206.65,204.33,207.82,205.78,185.48,210.15,206.94,178.49,195.11,191.98,200.28,196.26,187.73,186.32,204.62,200.28,179.6,213.09,215.45,196.83,189.14,200.85,194.26,,30,965,34,30.86,965D6-(E1);
18.06.21 16:34:13,2.78,192.55,195.97,193.12,212.21,172.96,175.72,206.07,189.14,208.69,189.71,178.49,199.41,170.48,176.55,196.83,206.07,211.91,208.4,213.09,201.14,186.89,190.28,213.97,196.54,,30,965,34,30.88,965D6-(E1);
18.06.21 16:34:28,3.03,208.11,210.15,193.4,219.89,197.12,192.55,204.33,199.7,180.16,191.7,196.54,202.59,201.72,176.27,190.56,206.36,194.83,197.12,223.77,213.68,188.86,179.32,211.03,194.83,,30,965,34,30.91,965D6-(E1);
18.06.21 16:34:43,3.28,200.57,211.91,207.23,218.7,195.4,185.76,214.27,208.11,193.4,205.2,197.98,212.79,209.86,189.14,198.55,207.23,193.97,205.78,197.69,223.77,199.41,183.23,208.69,210.15,,30,965,34,30.93,965D6-(E1);
18.06.21 16:34:58,3.53,206.07,189.71,208.98,218.11,217.22,206.36,204.33,204.33,190.56,204.33,204.04,217.81,222.28,183.51,218.7,204.33,229.49,198.26,223.17,213.68,189.43,198.26,215.45,207.23,,30,965,34,30.97,965D6-(E1);
18.06.21 16:35:13,3.78,188.86,198.55,192.83,196.54,198.84,176.55,195.69,205.49,185.2,200.28,198.26,214.27,175.16,197.12,195.97,184.92,206.65,189.99,204.91,194.83,168.84,189.43,194.83,183.79,,30,965,34,31,965D6-(E1);
18.06.21 16:35:28,4.03,214.27,208.4,210.45,205.49,193.12,195.97,187.73,211.91,202.3,182.39,191.98,202.59,201.72,178.21,207.82,195.4,203.46,196.83,188.01,225.57,195.69,204.62,224.67,199.41,,30,965,34,31.01,965D6-(E1);
18.06.21 16:35:43,4.28,213.68,185.76,201.14,222.87,193.12,183.51,201.72,202.3,189.43,203.75,199.41,208.98,195.69,215.15,206.36,195.97,217.81,185.2,212.21,199.13,181.55,187.45,210.74,203.46,,30,965,34,31.04,965D6-(E1);
18.06.21 16:35:58,4.53,210.15,195.97,204.91,213.38,193.4,185.2,203.17,200.28,187.45,187.73,169.93,209.28,202.88,208.11,198.55,198.84,194.54,203.75,197.98,197.98,174.06,189.43,223.77,206.65,,30,965,34,31.04,965D6-(E1);
18.06.21 16:36:13,4.78,191.13,194.83,190.56,201.72,183.51,188.01,182.39,201.43,200.85,198.26,180.72,213.97,186.04,187.45,202.3,208.98,193.97,188.01,193.97,211.62,184.07,184.07,217.22,196.54,,30,965,34,31.08,965D6-(E1);
18.06.21 16:36:28,5.03,215.74,220.49,209.57,213.97,198.55,186.89,212.79,207.52,189.99,201.43,184.64,201.43,206.36,207.23,204.33,199.41,217.52,202.59,206.07,204.62,186.6,185.76,202.3,206.65,,30,965,34,31.1,965D6-(E1);
18.06.21 16:36:43,5.28,213.97,217.52,205.78,215.15,205.2,200.85,216.33,212.79,182.39,189.71,212.79,200.57,188.58,192.55,215.74,187.73,225.27,195.4,211.91,199.99,183.79,182.95,232.52,201.14,,30,965,34,31.11,965D6-(E1);
18.06.21 16:36:58,5.53,204.91,210.74,211.91,221.38,221.08,205.49,224.97,209.57,193.97,200.85,211.91,219,216.63,195.69,208.98,212.21,196.26,201.14,213.38,219,187.73,197.12,221.68,203.46,,30,965,34,31.15,965D6-(E1);
18.06.21 16:37:13,5.78,211.62,216.92,211.91,224.97,196.26,196.54,211.33,213.38,191.98,219.6,183.79,205.2,206.07,196.83,206.65,203.46,204.04,190.28,218.11,202.59,178.77,181,232.82,213.38,,30,965,34,31.15,965D6-(E1);
