scale.length.mm,volume.known,date.analyzed,photo.label,rep,length.measured.mm,difference.mm,volume.measured,difference.volume,std.dev.differences.length,mean.differences.length,std.dev.differences.volume,mean.differences.volume
0.100,0.000523599,20240603,P1-1,1,0.100,0,0.000523599,0,0.000587143,0.00065,9.35394E-06,1.03285E-05
0.100,0.000523599,20240603,P1-1,2,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,3,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,4,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,5,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,6,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,7,0.102,0.002,0.000555647,3.20484E-05,,,,
0.100,0.000523599,20240603,P1-1,8,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,9,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,10,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,11,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,12,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,13,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,14,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,15,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,16,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,17,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,18,0.101,0.001,0.000539464,1.58656E-05,,,,
0.100,0.000523599,20240603,P1-1,19,0.100,0,0.000523599,0,,,,
0.100,0.000523599,20240603,P1-1,20,0.101,0.001,0.000539464,1.58656E-05,,,,
