"","Compound","Ambient _ mean","Ambient _ se","High _ mean","High _ se"
"1","3-Phosphoglycerate",0.248729687822839,0.0106215486246188,0.218291885411244,0.0151044948581374
"2","Aconitate",0.212151561676527,0.00587996275960046,0.196111199904242,0.00789533956007232
"3","Adenine",0.00606574772263434,0.000265250323048473,0.00717933469166179,0.000304416081925328
"4","Adenosine",0.00729184538513859,0.000529212599848257,0.0056952641594137,0.000333160592316844
"5","Alanine",0.145179195951643,0.00576586782569984,0.159465418711504,0.00698562185284771
"6","AMP",0.00414647692478509,0.000325741794449661,0.00294358548927925,0.000386937165751602
"7","Arginine-Glutamine",0.0480170965950137,0.00399455014205963,0.100227667190283,0.0121422578063823
"8","Asparagine",0.0416672138607455,0.00365835229478781,0.0735496095209381,0.011261472764072
"9","Aspartate",0.183810693958459,0.00416933976137635,0.199119457387198,0.00435679529244333
"10","Citrate",0.254063420286191,0.0118457514343039,0.226434633766501,0.00981838184778472
"11","Citrulline",0.0495498624261182,0.00201336195042033,0.0683551717313269,0.00770822072286537
"12","Dihydroxyacetone phosphate",0.201322514960344,0.0091236077224632,0.171976816810284,0.00671268136048025
"13","Fructose-6-phosphate",0.198385018910804,0.00812497264498472,0.178139424431689,0.00743245966745131
"14","Glucose-6-phosphate",0.212363003583232,0.00756678324864017,0.184116462849625,0.00743117928899074
"15","Glutamate",0.162492185068767,0.00397359220322216,0.171891989787856,0.00407339009491867
"16","Glutamine",0.0865275426232749,0.0010896913776264,0.125956030030318,0.00311479255027056
"17","Glycerol-3-phosphate",0.194787517231433,0.00900681973284941,0.172017892742364,0.00816851314124124
"18","Glycerophosphocholine",0.00154647203335199,0.000340890544872906,0.000264661655143458,0.000128331355765089
"19","GMP",0.00386184040172829,0.000491020608776825,0.00284366698972534,0.000177493699726717
"20","Guanine",0.0303322193751836,0.0053278885597342,0.0564080716119098,0.0101928709369464
"21","Guanosine",0.00310499638146587,0.000127143150799461,0.00157133054464568,0.00026631108965824
"22","Isocitrate",0.263991782901477,0.00276799967894231,0.250498678439405,0.0077208552821736
"23","L-arginino-succinate",0.0160763688563298,0.00191090223316028,0.00188461761899348,0.00165530020115003
"24","Lactate",0.130208538961489,0.0136717940575076,0.0821663454555209,0.0173720545043338
"25","Leucine",0.00269312645216713,0.000360567736437783,0.00168809399998694,0.000356275954286232
"26","Lysine",0.0167963505915775,0.00100839735121688,0.0221054396390105,0.00201643629571514
"27","NAD+",0.0422095643115427,0.00758577158212633,0.0237711940353962,0.00101459009588133
"28","Ornithine",0.0191188876671166,0.00456780939959403,0.0360833504713365,0.006038280562605
"29","Pantothenate",0.00203407532940588,0.000464540870554124,0.00414318692795239,0.000866798597221601
"30","Phenylalanine",0.00311412630409409,0.000276183795435905,0.00174708961536765,0.000144826016430374
"31","Proline",0.0526730567193235,0.00192071749578573,0.0710332384221865,0.00533235110273315
"32","Pyruvate",0.19592349909106,0.00660533101077987,0.171193315227055,0.00695439270411886
"33","Sorbitol",0.0486471902690254,0.0025537557773064,0.0372261465927113,0.0022584979263743
"34","Taurine",0.0133604955729118,0.000632663313836305,0.0191700602434576,0.00110282804846784
"35","Thymidine",0.000261543991905943,0.000165459311530414,0,0
"36","Tryptophan",0.0263113139098266,0.00268875763530008,0.00977932563319373,0.00109586945339975
"37","Tyrosine",0.0061041606783594,0.000799132305320415,0.00410116185141137,0.000869831442803794
"38","Valine",0.00839933575438712,0.000424230486283041,0.0162501601833446,0.00300743169049148
