"","Compound","Ambient _ mean","Ambient _ se","High _ mean","High _ se"
"1","Aconitate",1.04350155520554,0.0456123760876923,1.18048317443019,0.0618634826195571
"2","Adenosine",1.5065055051163,0.0470553642079803,1.7952330763699,0.116152190575376
"3","ADP-D-Glucose",0.0399796617787879,0.00690311183741448,0.0557649272069748,0.00435430023521527
"4","Alanine",1.2381226067521,0.0499821095689517,1.08214791880452,0.0444503881081957
"5","Arginine-Glutamine",0.27639301321489,0.0251406007893794,0.572588893773366,0.0508711721494576
"6","Asparagine",0.371873468820786,0.02174385597411,0.483715124422109,0.0299490427948929
"7","Aspartate",0.886102308754002,0.0324846370819177,1.11272519779335,0.0517144908235615
"8","Carbamoyl phosphate",0.0931245524060535,0.0236775657537113,0.168455611560848,0.0387556526015059
"9","Citrulline",0.0653823787787601,0.00339394814038449,0.0404467749146801,0.00414025370602408
"10","Glucose",2.82168031409747,0.0606548323250718,3.10744579905488,0.102200072234811
"11","Glutamate",3.32777546156018,0.0713179779742614,3.56688416130333,0.0694121904127357
"12","Glycerate",0.206116443489542,0.0318317518877309,0.303283874764865,0.0380484084873657
"13","Homoarginine",0.0474168481927494,0.00228622798209243,0.0541852210058973,0.00316795146616304
"14","Inositol",1.7937821697563,0.0488520819114299,2.26360102962271,0.0358062403039141
"15","Isoleucine",1.2715428366041,0.0354867431747418,0.988939187984271,0.0458955747163419
"16","Leucine",1.68317988991584,0.0491908629064843,1.43810763545761,0.0558041290230729
"17","Lysine",1.12101603340268,0.0465547440893345,0.966482079245082,0.0315688825894742
"18","Montiporic Acid A",5.40068611503419,0.169404981113403,5.85331699180752,0.190876001269848
"19","Montiporic Acid C",6.72491214383302,0.154263387547555,7.1098410379297,0.14215151596136
"20","N-acetyl-glutamate",0.232163957952448,0.0169135761028697,0.147231695483322,0.00383330137612452
"21","N-Acetylaspartate",0.220996870345117,0.021126724912777,0.175954239637662,0.0131491448643798
"22","N-Acetylputrescine",0.0257955150109342,0.00402741114023653,0.0125834509018427,0.00411945691709767
"23","NAD+",0.204108492570068,0.0368071553192826,0.548051749466201,0.0532076019080023
"24","NADP+",0.0549921252323529,0.00882421500048987,0.161814774418916,0.0163325387643565
"25","Phosphocholine",0.216376688064566,0.0125934594518031,0.322983788774602,0.0195538794227756
"26","Proline",0.918670617106206,0.0288869137994772,1.01204638860547,0.0395100213980104
"27","Ribose phosphate",0.323575255687731,0.0322009043292072,0.216015622341811,0.0195974777932459
"28","Taurine",1.38442431554777,0.0686758368875918,1.19744143076694,0.0629833167785718
"29","Theanine",0.919460258757566,0.0568864729411408,0.632260701083775,0.0485694473981888
"30","Thymine",0.106085157973451,0.00711231094281442,0.0855646602214929,0.00840480645445651
"31","UMP",1.82997996860875,0.0454142163505237,2.02065160902966,0.0582008780703301
"32","Valine",1.14171170589304,0.0258539010884992,0.900395893134197,0.0519710710919185
"33","Xylose-5-phosphate",0.14709028571512,0.00666242640590929,0.0917812601272093,0.0111475478869869
