Metabolite,VIP
Thymidine,1.003671878387825
Alanine,1.0136970122481674
Aconitate,1.0359919320171378
Glutamate,1.0406999166884074
3-Phosphoglycerate,1.0565704950845467
Isocitrate,1.0586693944560708
Tyrosine,1.0733901993698338
Citrate,1.1298016726653093
Fructose-6-phosphate,1.1307625736671325
Glycerol-3-phosphate,1.143975277223121
GMP,1.1785139404467726
Leucine,1.19330994333782
Pantothenate,1.2665727209768254
Lactate,1.2779899032404762
Ornithine,1.3013265916496681
Guanine,1.314097256791987
Lysine,1.3463729297001346
Citrulline,1.3506906879501077
AMP,1.3610209032958762
NAD+,1.372357369943105
Aspartate,1.4055088118239802
Adenosine,1.4100865874240847
Pyruvate,1.4208559432479972
Dihydroxyacetone phosphate,1.425261277321287
Valine,1.4344168936230102
Glucose-6-phosphate,1.4485294638804476
Asparagine,1.4710677674228876
Adenine,1.4808928371467731
Proline,1.612792835177101
Sorbitol,1.6363428786179028
Glycerophosphocholine,1.6694336653368693
Arginine-Glutamine,1.7832374678504566
Phenylalanine,1.8202229005367507
Taurine,1.849051228486467
Guanosine,1.9188011192556602
L-arginino-succinate,1.9587823873758021
Tryptophan,1.9671313973334745
Glutamine,2.1713494110296807
