Compound,sample,isotope,treatment,tank,tube,enrichment
3-Phosphoglycerate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.2669433805436414
3-Phosphoglycerate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.2878252495401175
3-Phosphoglycerate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.23421745902088975
3-Phosphoglycerate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.25426564672936763
3-Phosphoglycerate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.21697943052938762
3-Phosphoglycerate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.2321469605736306
3-Phosphoglycerate,13C_High-H1_I21,13C,High,H1,I21,0.2443017282544272
3-Phosphoglycerate,13C_High-H2_I22,13C,High,H2,I22,0.16594155935603364
3-Phosphoglycerate,13C_High-H3_I23,13C,High,H3,I23,0.2700983969258262
3-Phosphoglycerate,13C_High-H4_I24,13C,High,H4,I24,0.2161984099759419
3-Phosphoglycerate,13C_High-H5_I25,13C,High,H5,I25,0.19134341719045914
3-Phosphoglycerate,13C_High-H6_I26,13C,High,H6,I26,0.2218678007647735
Aconitate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.20720027559355111
Aconitate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.24096090950325946
Aconitate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.21084260475122674
Aconitate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.20601018883531677
Aconitate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.20186341612101244
Aconitate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.2060319752547971
Aconitate,13C_High-H1_I21,13C,High,H1,I21,0.1880964203496184
Aconitate,13C_High-H2_I22,13C,High,H2,I22,0.1875278884230591
Aconitate,13C_High-H3_I23,13C,High,H3,I23,0.1962485833396436
Aconitate,13C_High-H4_I24,13C,High,H4,I24,0.16875724560536395
Aconitate,13C_High-H5_I25,13C,High,H5,I25,0.21454998021237437
Aconitate,13C_High-H6_I26,13C,High,H6,I26,0.22148708149539212
Adenine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.005957111925996297
Adenine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.006201395282557759
Adenine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.005644309322986303
Adenine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.006239165102338943
Adenine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.005214893010901224
Adenine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.00713761169102551
Adenine,13C_High-H1_I21,13C,High,H1,I21,0.007567055281456514
Adenine,13C_High-H2_I22,13C,High,H2,I22,0.006404802270638191
Adenine,13C_High-H3_I23,13C,High,H3,I23,0.00733522144100594
Adenine,13C_High-H4_I24,13C,High,H4,I24,0.006196902442767191
Adenine,13C_High-H5_I25,13C,High,H5,I25,0.007395978106908288
Adenine,13C_High-H6_I26,13C,High,H6,I26,0.0081760486071946
Adenosine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.007439841209310806
Adenosine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.008386009730286803
Adenosine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.006317449225118521
Adenosine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.008554262633748937
Adenosine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.005209748991257133
Adenosine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.007843760521109315
Adenosine,13C_High-H1_I21,13C,High,H1,I21,0.005009714939572672
Adenosine,13C_High-H2_I22,13C,High,H2,I22,0.005494896644031776
Adenosine,13C_High-H3_I23,13C,High,H3,I23,0.00498859640615714
Adenosine,13C_High-H4_I24,13C,High,H4,I24,0.005739915731089925
Adenosine,13C_High-H5_I25,13C,High,H5,I25,0.005720787800916496
Adenosine,13C_High-H6_I26,13C,High,H6,I26,0.007217673434714185
Alanine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.13974028679056813
Alanine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.16000999271053887
Alanine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.15688536848332085
Alanine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1552800553555686
Alanine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1329019765488543
