Logger,DateTime,Temp,Treatment
20946643,2021-06-12T06:00:00Z,25.768,Ambient
20987159,2021-06-12T06:00:00Z,25.744,Ambient
20987160,2021-06-12T06:00:00Z,25.793,Ambient
20719656,2021-06-12T06:00:00Z,26.329,High
20719658,2021-06-12T06:00:00Z,26.231,High
20946645,2021-06-12T06:00:00Z,26.304,High
20946643,2021-06-12T06:10:00Z,25.72,Ambient
20987159,2021-06-12T06:10:00Z,25.695,Ambient
20987160,2021-06-12T06:10:00Z,25.744,Ambient
20719656,2021-06-12T06:10:00Z,26.256,High
20719658,2021-06-12T06:10:00Z,26.182,High
20946645,2021-06-12T06:10:00Z,26.231,High
20946643,2021-06-12T06:20:00Z,25.623,Ambient
20987159,2021-06-12T06:20:00Z,25.623,Ambient
20987160,2021-06-12T06:20:00Z,25.623,Ambient
20719656,2021-06-12T06:20:00Z,26.158,High
20719658,2021-06-12T06:20:00Z,26.061,High
20946645,2021-06-12T06:20:00Z,26.085,High
20946643,2021-06-12T06:30:00Z,25.525,Ambient
20987159,2021-06-12T06:30:00Z,25.525,Ambient
20987160,2021-06-12T06:30:00Z,25.525,Ambient
20719656,2021-06-12T06:30:00Z,26.061,High
20719658,2021-06-12T06:30:00Z,25.987,High
20946645,2021-06-12T06:30:00Z,25.987,High
20946643,2021-06-12T06:40:00Z,25.428,Ambient
20987159,2021-06-12T06:40:00Z,25.477,Ambient
20987160,2021-06-12T06:40:00Z,25.428,Ambient
20719656,2021-06-12T06:40:00Z,25.939,High
20719658,2021-06-12T06:40:00Z,25.89,High
20946645,2021-06-12T06:40:00Z,25.866,High
20946643,2021-06-12T06:50:00Z,25.355,Ambient
20987159,2021-06-12T06:50:00Z,25.404,Ambient
20987160,2021-06-12T06:50:00Z,25.355,Ambient
20719656,2021-06-12T06:50:00Z,25.841,High
20719658,2021-06-12T06:50:00Z,25.793,High
20946645,2021-06-12T06:50:00Z,25.768,High
20946643,2021-06-12T07:00:00Z,25.307,Ambient
20987159,2021-06-12T07:00:00Z,25.355,Ambient
20987160,2021-06-12T07:00:00Z,25.283,Ambient
20719656,2021-06-12T07:00:00Z,25.768,High
20719658,2021-06-12T07:00:00Z,25.744,High
20946645,2021-06-12T07:00:00Z,25.695,High
20946643,2021-06-12T07:10:00Z,25.283,Ambient
20987159,2021-06-12T07:10:00Z,25.355,Ambient
20987160,2021-06-12T07:10:00Z,25.283,Ambient
20719656,2021-06-12T07:10:00Z,25.72,High
20719658,2021-06-12T07:10:00Z,25.744,High
20946645,2021-06-12T07:10:00Z,25.72,High
20946643,2021-06-12T07:20:00Z,25.307,Ambient
20987159,2021-06-12T07:20:00Z,25.38,Ambient
20987160,2021-06-12T07:20:00Z,25.38,Ambient
20719656,2021-06-12T07:20:00Z,25.768,High
20719658,2021-06-12T07:20:00Z,25.793,High
20946645,2021-06-12T07:20:00Z,25.72,High
20946643,2021-06-12T07:30:00Z,25.331,Ambient
20987159,2021-06-12T07:30:00Z,25.404,Ambient
20987160,2021-06-12T07:30:00Z,25.477,Ambient
20719656,2021-06-12T07:30:00Z,25.793,High
20719658,2021-06-12T07:30:00Z,25.841,High
20946645,2021-06-12T07:30:00Z,25.744,High
20946643,2021-06-12T07:40:00Z,25.38,Ambient
20987159,2021-06-12T07:40:00Z,25.477,Ambient
20987160,2021-06-12T07:40:00Z,25.647,Ambient
20719656,2021-06-12T07:40:00Z,25.89,High
20719658,2021-06-12T07:40:00Z,25.866,High
20946645,2021-06-12T07:40:00Z,25.768,High
20946643,2021-06-12T07:50:00Z,25.477,Ambient
20987159,2021-06-12T07:50:00Z,25.598,Ambient
20987160,2021-06-12T07:50:00Z,25.793,Ambient
20719656,2021-06-12T07:50:00Z,25.963,High
20719658,2021-06-12T07:50:00Z,25.914,High
20946645,2021-06-12T07:50:00Z,25.817,High
20946643,2021-06-12T08:00:00Z,25.55,Ambient
20987159,2021-06-12T08:00:00Z,25.671,Ambient
20987160,2021-06-12T08:00:00Z,25.89,Ambient
20719656,2021-06-12T08:00:00Z,26.012,High
20719658,2021-06-12T08:00:00Z,25.963,High
