Date,DateTime,Time,Treatment,Tank,LarvaeStart,Settled
20210621,2021-06-21T10:00:00Z,1400,Ambient,A1a,100,5
20210621,2021-06-21T10:00:00Z,1400,Ambient,A1b,100,5
20210621,2021-06-21T10:00:00Z,1400,Ambient,A2a,100,1
20210621,2021-06-21T10:00:00Z,1400,Ambient,A2b,100,0
20210621,2021-06-21T10:00:00Z,1400,Ambient,A3a,100,0
20210621,2021-06-21T10:00:00Z,1400,Ambient,A3b,100,3
20210621,2021-06-21T10:00:00Z,1400,Ambient,A4a,100,0
20210621,2021-06-21T10:00:00Z,1400,Ambient,A4b,100,4
20210621,2021-06-21T10:00:00Z,1400,Ambient,A5a,100,3
20210621,2021-06-21T10:00:00Z,1400,Ambient,A5b,100,0
20210621,2021-06-21T10:00:00Z,1400,Ambient,A6a,100,7
20210621,2021-06-21T10:00:00Z,1400,Ambient,A6b,100,1
20210621,2021-06-21T10:00:00Z,1400,High,H1a,100,0
20210621,2021-06-21T10:00:00Z,1400,High,H1b,100,0
20210621,2021-06-21T10:00:00Z,1400,High,H2a,100,2
20210621,2021-06-21T10:00:00Z,1400,High,H2b,100,1
20210621,2021-06-21T10:00:00Z,1400,High,H3a,100,1
20210621,2021-06-21T10:00:00Z,1400,High,H3b,100,3
20210621,2021-06-21T10:00:00Z,1400,High,H4a,100,3
20210621,2021-06-21T10:00:00Z,1400,High,H4b,100,1
20210621,2021-06-21T10:00:00Z,1400,High,H5a,100,4
20210621,2021-06-21T10:00:00Z,1400,High,H5b,100,1
20210621,2021-06-21T10:00:00Z,1400,High,H6a,100,0
20210621,2021-06-21T10:00:00Z,1400,High,H6a,100,3
20210622,2021-06-22T10:00:00Z,1215,Ambient,A1a,100,6
20210622,2021-06-22T10:00:00Z,1215,Ambient,A1b,100,4
20210622,2021-06-22T10:00:00Z,1215,Ambient,A2a,100,2
20210622,2021-06-22T10:00:00Z,1215,Ambient,A2b,100,4
20210622,2021-06-22T10:00:00Z,1215,Ambient,A3a,100,0
20210622,2021-06-22T10:00:00Z,1215,Ambient,A3b,100,5
20210622,2021-06-22T10:00:00Z,1215,Ambient,A4a,100,5
20210622,2021-06-22T10:00:00Z,1215,Ambient,A4b,100,7
20210622,2021-06-22T10:00:00Z,1215,Ambient,A5a,100,3
