Fraction,Sample.ID,Tube.ID,Treatment,total.chl.ug.protein.ug
Symb,A,A,Ambient,170.21277585190134
Symb,B,B,Ambient,71.01101604781643
Symb,C,C,Ambient,104.05591738140195
Symb,D,D,Ambient,146.11941409611003
Symb,E,E,Ambient,199.1551131305735
Symb,F,F,Ambient,362.66420718970386
Symb,G,G,Ambient,148.66243500285117
Symb,I,I,Ambient,68.50816440159426
Symb,J,J,Ambient,268.2804962652328
Symb,K,K,Ambient,224.22690401403707
Symb,L,L,High,427.64870732147574
Symb,M,M,High,307.0380605680641
Symb,N,N,High,184.97882694723972
Symb,O,O,High,179.09496420648668
Symb,P,P,High,182.08858826593197
Symb,Q,Q,High,149.0744740151569
Symb,R,R,High,134.35820108326143
Symb,T,T,High,212.28157391284273
Symb,U,U,High,244.93623303052112
Symb,V,V,High,245.05562671928797
Symb,W,W,High,138.48231625089323
Symb,X,X,High,281.84558021943315
