Sample.ID,Treatment,Fraction,carbs.cell
A,Ambient,Host,0.003404921693746506
B,Ambient,Host,0.006562268051427277
C,Ambient,Host,0.006657202647646109
D,Ambient,Host,0.0033761175020010884
E,Ambient,Host,0.0031746789109804406
F,Ambient,Host,0.0024070324641968107
G,Ambient,Host,0.003650421204243836
I,Ambient,Host,0.006789496780864301
J,Ambient,Host,0.004355524715394627
K,Ambient,Host,0.004588854240665704
M,High,Host,0.0029617582904542476
N,High,Host,0.0024144537394055203
O,High,Host,0.005609039980935705
P,High,Host,0.008210344920149541
Q,High,Host,0.004228631032044991
R,High,Host,0.0024868836680000434
S,High,Host,0.0038294801925373187
T,High,Host,0.0057032287941206255
U,High,Host,0.004415158346487316
V,High,Host,0.0025391860438020723
W,High,Host,0.00500424969027043
X,High,Host,0.009306970745373875
