Compound,sample,isotope,treatment,tank,tube,log.intensity.norm
Citrate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,1.5282621865174144
Citrate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,1.1994261277823628
Citrate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,1.0822821652766748
Citrate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,2.3936651064634047
Citrate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,1.2923339053425873
Citrate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,1.875372344276912
Citrate,12C_High-H1_I27,12C,High,H1,I27,1.7624145273456522
Citrate,12C_High-H2_I28,12C,High,H2,I28,0.8880629594248094
Citrate,12C_High-H3_I29,12C,High,H3,I29,0.7384074356466034
Citrate,12C_High-H4_I30,12C,High,H4,I30,0.04854456839327076
Citrate,12C_High-H5_I31,12C,High,H5,I31,1.0262342041977421
Citrate,12C_High-H6_I32,12C,High,H6,I32,0.7056174642968005
Citrate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,2.632459111043535
Citrate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,2.086553696391441
Citrate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.8789301468764099
Citrate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.2959180634411926
Citrate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.3268279927407711
Citrate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.5007796266154394
Citrate,13C_High-H1_I21,13C,High,H1,I21,1.4492980905932629
Citrate,13C_High-H2_I22,13C,High,H2,I22,0.7886026259423706
Citrate,13C_High-H3_I23,13C,High,H3,I23,1.8199721002924003
Citrate,13C_High-H4_I24,13C,High,H4,I24,3.080774339131068
Citrate,13C_High-H5_I25,13C,High,H5,I25,1.9266801929369826
Citrate,13C_High-H6_I26,13C,High,H6,I26,1.4688270483463164
Glucose-6-phosphate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,1.2994362055911268
Glucose-6-phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,1.2965754809013625
Glucose-6-phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,1.3956019124225445
Glucose-6-phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,1.2037904835978377
Glucose-6-phosphate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,1.2014186628107755
Glucose-6-phosphate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,1.2040498414038532
Glucose-6-phosphate,12C_High-H1_I27,12C,High,H1,I27,1.2901782033739049
Glucose-6-phosphate,12C_High-H2_I28,12C,High,H2,I28,1.1593547450924786
Glucose-6-phosphate,12C_High-H3_I29,12C,High,H3,I29,1.3305540648010739
Glucose-6-phosphate,12C_High-H4_I30,12C,High,H4,I30,1.3210800380016783
Glucose-6-phosphate,12C_High-H5_I31,12C,High,H5,I31,1.565303525378583
Glucose-6-phosphate,12C_High-H6_I32,12C,High,H6,I32,1.3275145514729119
Glucose-6-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.2009372047910618
Glucose-6-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.0823847437292744
Glucose-6-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.3468871000955103
Glucose-6-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.1132242143574276
Glucose-6-phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.2048915592015774
Glucose-6-phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.1422145639615375
Glucose-6-phosphate,13C_High-H1_I21,13C,High,H1,I21,1.192616699300829
Glucose-6-phosphate,13C_High-H2_I22,13C,High,H2,I22,1.2462704982745894
Glucose-6-phosphate,13C_High-H3_I23,13C,High,H3,I23,1.1066687141676914
Glucose-6-phosphate,13C_High-H4_I24,13C,High,H4,I24,1.5441135103279782
Glucose-6-phosphate,13C_High-H5_I25,13C,High,H5,I25,1.2751145801578347
Glucose-6-phosphate,13C_High-H6_I26,13C,High,H6,I26,1.2620786735203597
Isocitrate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,3.17104429861376
Isocitrate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,3.5458019991735745
Isocitrate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,1.1333684219479172
Isocitrate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,1.7049478800454518
Isocitrate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,3.1052786726037134
Isocitrate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.751549565931582
Isocitrate,12C_High-H1_I27,12C,High,H1,I27,3.5324646209253814
Isocitrate,12C_High-H2_I28,12C,High,H2,I28,2.57219192654903
Isocitrate,12C_High-H3_I29,12C,High,H3,I29,1.0597000380339745
Isocitrate,12C_High-H4_I30,12C,High,H4,I30,0.5457085687693063
Isocitrate,12C_High-H5_I31,12C,High,H5,I31,1.7522481950759874
Isocitrate,12C_High-H6_I32,12C,High,H6,I32,2.18037650059287
Isocitrate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,3.269377250132143
Isocitrate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,2.7110396146112783
Isocitrate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,2.613930807418532
Isocitrate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,2.567214608592493
Isocitrate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,3.506663293514864
Isocitrate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,3.903889585575473
Isocitrate,13C_High-H1_I21,13C,High,H1,I21,3.462249786574794
Isocitrate,13C_High-H2_I22,13C,High,H2,I22,1.628005643277581
Isocitrate,13C_High-H3_I23,13C,High,H3,I23,3.6968413095006807
Isocitrate,13C_High-H4_I24,13C,High,H4,I24,4.215606783497827
Isocitrate,13C_High-H5_I25,13C,High,H5,I25,2.323848588852211
Isocitrate,13C_High-H6_I26,13C,High,H6,I26,2.782974510577493
Fructose-6-phosphate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,1.036317587160273
Fructose-6-phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,1.0009802570281408
Fructose-6-phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.7058956363945813
Fructose-6-phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.9433745480375424
Fructose-6-phosphate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.9313871815359712
Fructose-6-phosphate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.9130896678378214
Fructose-6-phosphate,12C_High-H1_I27,12C,High,H1,I27,1.0100026500799029
Fructose-6-phosphate,12C_High-H2_I28,12C,High,H2,I28,0.7681463965370796
Fructose-6-phosphate,12C_High-H3_I29,12C,High,H3,I29,0.9464135004870189
Fructose-6-phosphate,12C_High-H4_I30,12C,High,H4,I30,0.8531855146396456
Fructose-6-phosphate,12C_High-H5_I31,12C,High,H5,I31,1.001432264995437
Fructose-6-phosphate,12C_High-H6_I32,12C,High,H6,I32,0.9338563610751479
Fructose-6-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.0066373337383607
Fructose-6-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.864619598172931
Fructose-6-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.979340588687604
Fructose-6-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.8893877489439431
Fructose-6-phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.9212391349346954
Fructose-6-phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.977059026384964
Fructose-6-phosphate,13C_High-H1_I21,13C,High,H1,I21,0.9537216401736021
Fructose-6-phosphate,13C_High-H2_I22,13C,High,H2,I22,0.894204181353596
Fructose-6-phosphate,13C_High-H3_I23,13C,High,H3,I23,0.8792729532492862
Fructose-6-phosphate,13C_High-H4_I24,13C,High,H4,I24,1.329872844405626
Fructose-6-phosphate,13C_High-H5_I25,13C,High,H5,I25,0.9546011026099589
Fructose-6-phosphate,13C_High-H6_I26,13C,High,H6,I26,1.0511021273037033
Ribose phosphate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.3958200538408316
Ribose phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.40989068384927974
Ribose phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.13942638875732347
Ribose phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.39640752183112604
Ribose phosphate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.31705823522850324
Ribose phosphate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.31528704058147455
Ribose phosphate,12C_High-H1_I27,12C,High,H1,I27,0.21203975076184595
Ribose phosphate,12C_High-H2_I28,12C,High,H2,I28,0.16097180322416924
Ribose phosphate,12C_High-H3_I29,12C,High,H3,I29,0.24925447463971723
Ribose phosphate,12C_High-H4_I30,12C,High,H4,I30,0.21837841630599306
Ribose phosphate,12C_High-H5_I31,12C,High,H5,I31,0.27631010915885706
Ribose phosphate,12C_High-H6_I32,12C,High,H6,I32,0.18657085582064512
Ribose phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.31154167236936114
Ribose phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.32483485540278534
Ribose phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.3431906651998347
Ribose phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.36577772512394696
Ribose phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.41529664711558545
Ribose phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.180809968914873
Ribose phosphate,13C_High-H1_I21,13C,High,H1,I21,0.20769661852088772
Ribose phosphate,13C_High-H2_I22,13C,High,H2,I22,0.1733923843067671
Ribose phosphate,13C_High-H3_I23,13C,High,H3,I23,0.17668477966322935
Ribose phosphate,13C_High-H4_I24,13C,High,H4,I24,0.24781693887095133
Ribose phosphate,13C_High-H5_I25,13C,High,H5,I25,0.29705968661030563
Ribose phosphate,13C_High-H6_I26,13C,High,H6,I26,0.19344332607872303
Dihydroxyacetone phosphate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.5442050586238137
Dihydroxyacetone phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.5552276022834296
Dihydroxyacetone phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.43927709917607793
Dihydroxyacetone phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.4216938741487285
