sample,isotope,treatment,tank,tube,Glutathione disulfide,Lysine,NADP+,5-Hydroxylysine,Citrate,Arginine,Ornithine,Homoarginine,Glucose-6-phosphate,Phosphocholine,L-arginino-succinate,Isocitrate,GMP,CMP,Fructose-6-phosphate,Aconitate,UDP-D-Glucose,CDP-Choline,UMP,Ribose phosphate,NAD+,ADP-D-Glucose,Dihydroxyacetone phosphate,Glycerol-3-phosphate,UDP-N-acetyl-glucosamine,AMP,Glucose,Arginine-Glutamine,Malate,Aspartate,Glutamate,2-Hydroxyglutarate,N-Acetylaspartate,FAD,Succinate,N-acetyl-glutamate,Inositol,Glycerophosphocholine,a-ketoglutarate,Asparagine,Serine,Glutamine,Methionine sulfoxide,Glycine,Threonine,Alanine,Proline,Sorbitol,Theanine,Valine,Tyrosine,Taurine,Ribitol,Pantothenate,Isoleucine,Lactate,Leucine,Phenylalanine,Guanine,Tryptophan,Uridine,Adenosine,Pyruvate,Adenine,Uracil,Phenyllactic acid,Thymidine,Montiporic Acid C,Montiporic Acid A,Montiporic Acid B,Montiporic Acid D,3-Phosphoglycerate,Citrulline,Guanosine,Inosine,Mannose-6-phosphate,Xylose-5-phosphate
13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0373143260493395,0.01695814703170741,0.009223650349695231,0,0.25137286902641826,0,0.03208586286851955,0,0.20755618520515592,0,0.02059339113973161,0.27139829208907534,0.0043132699981030705,0,0.18977678941790757,0.20720027559355111,0.07492235763306672,0.0023625802696353297,0.021910771343510004,0.08147577640758345,0.01917335859261137,0.009368883493746323,0.182346944678899,0.18596039601217104,0.01983147071008225,0.0040840197913634664,0.17467527386466641,0.039825096880473115,0.0893397804617888,0.17221903220702162,0.15293590767458928,0.033750966255260584,0.001671435466534898,0,0.17448778786432823,0.12970056606143374,0.004319334327368484,0.002576247370866104,0.1032989150927619,0.04154044556211137,0.07042321845851367,0.08352278749970007,0.287612399746083,0.015981174588672716,0.0023128770703532515,0.13974028679056813,0.04632849734648363,0.04906246132248617,0,0.010015839257929168,0.004656194089304953,0.014993764230471635,0.03287140014533801,0.0011015193262326442,0.00333277653684199,0.15302356222694308,0.003938586975049352,0.0032175085186947174,0.029625801215276793,0.025729414875243797,0.034541762065271674,0.007439841209310806,0.19319270443651024,0.005957111925996297,0.01499251074690804,0.001007558287533046,7.994710582097941e-4,0,0,0,6.006616411220878e-5,0.2669433805436414,0.04693354940263819,0.0034994227896237135,0.004846044279291761,0.13501157334876815,0.1268590606946227
13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.06845692372709934,0.018563137288548734,0.011962833231800994,9.95029901135634e-4,0.25120676732723896,0,0.027444477418595813,0,0.22417637707818952,0,0.009847127405534636,0.26932544789495066,0.004299865603981955,0,0.20996221910535173,0.24096090950325946,0.08769643246900552,0,0.022940236089229484,0.09147260895798434,0.04256796039851442,0.02272198800572512,0.21421856821848403,0.20643032242785977,0.025096595355621254,0.004430923141556777,0.21099129407312875,0.049057955010792624,0.09102613149586704,0.18665214269599192,0.16521983886366878,0.03426939928941555,0.0021202341551135946,0,0.17153182850944207,0.10979881544650538,0.00434130186406266,3.327465491179627e-4,0.11612618176503182,0.05852626395295714,0.07254008022986565,0.08937991310336821,0.2760492841680004,0.00908724360869849,0.005554769405700546,0.16000999271053887,0.05181250465534951,0.052033564873697785,3.595358600773108e-4,0.008097921864745812,0.0042367012286956725,0.011986076245279184,0.03066828151289882,0.0017823284331685832,0.003235372042783393,0.18137434272665284,0.0035551191975767144,0.0033567732555091078,0.03164107197484896,0.027466157739999355,0.04442990518148772,0.008386009730286803,0.22265767253036337,0.006201395282557759,0.00979245801280747,0.0011963993428196155,0,0,9.477053651088639e-5,0,8.361257250688815e-5,0.2878252495401175,0.0469695362095629,0.0030310497397000188,0.0032545641591894153,0.17395718556423992,0.1554355876398342
13C_Ambient-A3_I3,13C,Ambient,A3,I3,0,0.01410773556197313,0.007631643253630923,0,0.308222266896038,0.006469083306915126,0.0024081232419512167,0.005397083699894263,0.22704640574751514,7.898331179856255e-5,0.015579953438991264,0.26215258816258075,0.002108574601519428,0,0.21776464625240813,0.21084260475122674,0.0875592289319725,0,0.03493889696749134,0.07732242982658996,0.02659547971670606,0.01641648308877481,0.22813435200519608,0.21236654002740166,0.026551769722032634,0.00469046683726642,0.21874696087016265,0.05633415748377049,0.08771682290108476,0.18767523349709941,0.17366994970437305,0.026713237028596414,0,0,0.10692888507615278,0.1089689860740882,0.005666641514564197,0.001849067426586032,0.11085450840259654,0.041935554688284096,0.01956774974229998,0.08940635225713552,0.23431986150972248,0.0021007390084784886,0.006712669905388206,0.15688536848332085,0.05245950595545754,0.044680586744060925,0,0.007528579514872931,0.008887955422365512,0.013746072777170501,0.024526794187577954,5.323713568645711e-4,0.005085024700142571,0.08935184839786946,0.00264431350898681,0.002148847321959951,0.01753584366401851,0.016758266379100897,0.0677666137164467,0.006317449225118521,0.19007400171855662,0.005644309322986303,0.004470411813993712,0,0,0,1.0588736637526805e-4,6.558343812218676e-6,3.820178075320456e-4,0.23421745902088975,0.04505279824570262,0.003086577650435557,0.0022188099845756545,0.1455691670963813,0.17515271812584787
13C_Ambient-A4_I4,13C,Ambient,A4,I4,0,0.019064492815829285,0.023896996552093923,0.0027898290430692003,0.25486723002621914,0,0.02486889968568353,0.0016595171966715307,0.2330592827740258,0,0.01135541652800197,0.2678959046516726,0.0031945381020227525,0,0.21957027238475302,0.20601018883531677,0.07653875393875835,0,0.01935747207294325,0.08608410781757438,0.0438866473667802,0.019346644208813213,0.22084581084903374,0.22143507076867633,0.019184404988169868,0.004663480117011749,0.20147232480779556,0.035129077791209225,0.09634916836995477,0.20000649513551208,0.1735713280082762,0.029375094772807094,0.001051502922422522,0,0.15263094591251072,0.09366750727002489,0.004820615142490705,7.717819226505721e-4,0.11854744864368667,0.03239429407714361,0.06955835410651856,0.08557678403435207,0.24816823587251466,0.008993407529449157,0.002792205358363957,0.1552800553555686,0.06059105235722585,0.05612472746365174,0,0.008296416629376854,0.007118413472193608,0.015312873534706952,0.027277716242648152,0.0036454715244097777,0.0029900054045033184,0.10766253324763796,0.0016672619173141153,0.00417734197391481,0.023257888723437495,0.02981166541049972,0.03430097135917245,0.008554262633748937,0.2070218529119278,0.006239165102338943,0,0,0,0,4.71930081882829e-5,0,0,0.25426564672936763,0.05630024105822936,0.003295779037818919,0.004224792943599566,0.20896023440204112,0.18355406478639064
13C_Ambient-A5_I5,13C,Ambient,A5,I5,0,0.018673637754667006,0.018102925160943965,0,0.22491243819490606,0.00465871482927826,0.010576361070778705,0,0.1886410345098073,0,0.018163469597825194,0.25356185790789487,0.0035915411036619924,3.704864284298594e-4,0.17702991865497905,0.20186341612101244,0.07423572621743002,3.352937003582449e-4,0.016501542140735494,0.06531530328039743,0.07231926309255425,0.0169861970945537,0.18669630153887887,0.1781442424688736,0.019249929711749752,0.002579733977827232,0.1691940725726233,0.0465801209877108,0.08124087442022696,0.18250667781807373,0.15680470453793066,0.025872114686435105,9.868169195239526e-4,1.857441919867741e-4,0.1623662261342199,0.09669161929764077,0.0022888388506983556,0.00202568629581795,0.10010594040821826,0.03862338118715091,0.04879369937436737,0.08367880837216288,0.20603797136431617,0.008345507518361554,0.005735261394960831,0.1329019765488543,0.05057734535378884,0.03844774922911522,3.4158443227206116e-4,0.009195096589628735,0.007392503082421935,0.012306167886246576,0.019023006405539358,0.002807815481001029,0.003741265879672132,0.11406742634919091,0.0020819342695925385,0.0030624597402057027,0.02496713474967104,0.03600400346583946,0.03745327485495581,0.005209748991257133,0.18216397071404097,0.005214893010901224,0.009428096504871534,0,0,2.3277249919109348e-5,0,0,6.659106603598773e-5,0.21697943052938762,0.04666361048216308,0.0025707061605424898,0.003272341273714971,0.09808349426166742,0.12500218662082735
13C_Ambient-A6_I6,13C,Ambient,A6,I6,0,0.013410953096739625,0.00873519131526649,0,0.23379895024632844,0.007392997514153268,0.017329601717170563,0.008191003074205741,0.1936987361846977,0,0.020918855027893847,0.2596166067026854,0.0056632530010805315,0,0.17620626764942235,0.2060319752547971,0.06058523168854964,7.896106690550232e-4,0.02105585809531858,0.07814600449830274,0.048714676702090044,0,0.17569311247156982,0.16438853168361586,0.01792064431174649,0.004430237683684887,0.16255877504357782,0.06117617141612625,0.0668349843543786,0.1738045823970524,0.1527513816237631,0.023683407230504043,0.0020342180025023538,0,0.14939196610040806,0.0961862789287065,0.004353838799360959,0.0017233026350733367,0.09877921044357249,0.036983343696825946,0.04830715744137701,0.08760061047293055,0.24052839469483303,0.00965238771520356,0.0034958098714872386,0.12625749582100929,0.05426943464763576,0.051534051981140645,0,0.007262160669769209,0.004333196775174721,0.011818018763596193,0.02527770718099278,0.0023349458547586846,0.0025583392689533455,0.13577152082064242,0.002271542844483223,0.0027218270142802493,0.05496557592384863,0.022098375588276115,0.03594214230389678,0.007843760521109315,0.1804307922349632,0.00713761169102551,0.018326881644949583,0,7.697928932258629e-4,0,0,0,0,0.2321469605736306,0.05537943915841301,0.0031464429106745143,0.004890904017007222,0.16752919285671664,0.13410943768404227
13C_High-H1_I21,13C,High,H1,I21,0,0.01703752486005652,0.015263341630010606,0,0.2079672312524421,0.00907043956724756,0.012973757457870013,0.006622408364851321,0.17229070875108454,0,0.0012053047882296573,0.24207367005841096,0.002441379768683558,0,0.16725802079233595,0.1880964203496184,0.06575271858620817,0,0.024788218689778155,0.061780981425884104,0.024995527247099764,0.011121876917797101,0.14653360961989934,0.14969006110144437,0.0260674354555476,0.0025506131472138654,0.194393009856662,0.10733052637571365,0.0919156894324953,0.19126627515343875,0.17349202285299134,0.02675954867639118,0.0015891458319830614,0,0.14651621425378702,0.14200626006867792,0.0035701478569588833,4.3115046291368676e-4,0.1076414163010208,0.07454713140563776,0.037348010422880606,0.1281521772156528,0.2821793780352736,0.005676510925138911,0.00598385017322411,0.16071166348098095,0.07302201587918522,0.03485715401924257,0,0.015102105680398808,0.004423851697900098,0.017721995263672498,0.020656946133890807,0.004919905412153636,0.002507027562759234,0.11845359118684018,0.0010493292626896254,0.0015039232222424212,0.061901529122418766,0.008933743822766859,0.057629127635881114,0.005009714939572672,0.1619069973330374,0.007567055281456514,0.010988138307795067,0,0,0,2.2870719240255813e-5,0,0,0.2443017282544272,0.05105348129523179,0.0022817087209395202,0.004481010854516169,0.11585149566758618,0.32289176779197104
13C_High-H2_I22,13C,High,H2,I22,0,0.029031587799321135,0.011139667628356416,0,0.19774277784694758,0.0033961515478127795,0.02233394022567518,0,0.2118400850917125,0,0,0.22535229793389897,0.002641856647911845,0.001186559536162163,0.2092540197455893,0.1875278884230591,0.07995044617499877,0,0.0234786609315835,0.0812878484408866,0.019182046254812384,0.009536718572002386,0.18768477660278501,0.2083595920267628,0.028597434568786988,0.0013194422846638195,0.2101836771421338,0.06043236770615232,0.08827937692936921,0.21300053349075493,0.18910499962001986,0.01909267101048922,0,0,0.11157460786985746,0.05612998931975955,0.003812129067498704,0,0.12737340526643376,0.06358665245920882,0.04778881651062037,0.1309697745881238,0.23393608126325788,0.005471419134688231,0.011599488550593737,0.18013695948769484,0.08770054116123759,0.03321516806523286,0.002378562354897314,0.00523756284464201,0.007361326442357152,0.014460264158176294,0.037847734462026286,0.0034091283548817225,0.004489893703614054,0.024834956724963286,0.0029116591198231506,0.0016319626167631456,0.011590015908990735,0.01292205595600383,0.04505385085189918,0.005494896644031776,0.18706979010081182,0.006404802270638191,0.0012117905503970631,0.005389358365785631,0,0,1.3233846095751488e-4,0,6.549268647972048e-5,0.16594155935603364,0.09741593653664836,4.005909154671906e-4,0.0018321528279950337,0.18080758242986672,0.08183375074643162
13C_High-H3_I23,13C,High,H3,I23,0.031316576406655035,0.01745172174354663,0.01199982553286192,0.002933362796621186,0.26019219742263755,0.0058154962301744245,0.04397095258078403,0.0045237554860645445,0.19166591696063562,0,0,0.27847600191917204,0.003589595660284164,2.336128130480799e-4,0.1791471044227491,0.1962485833396436,0.0788613897433924,0,0.0259065755036905,0.08388573543070257,0.025645029722443948,0.011900599313315031,0.18600728416225806,0.16994163740707804,0.02916305416790034,0.004134737548235828,0.2311917903474475,0.13575883578603948,0.09942137939378141,0.194231820737185,0.1690869774131353,0.03662280691490646,0,0,0.1698411607723114,0.12521034863613764,0.0031317380514378178,4.0616500399104924e-4,0.11393302214189367,0.10242537584457606,0.06750069473618157,0.13136947645767844,0.29489838735230817,0.009709741110824366,0.002532245404298972,0.16265015730154572,0.04900323232837975,0.047672556049822616,0,0.025751265146937395,0.0023403504726041474,0.020097889075967292,0.033467981669254,0.003533280061814137,0.004090142286756135,0.11569351467202342,0.0025467977983972007,0.0017856076049540875,0.07100934987637522,0.007450753745311739,0.04456703744066745,0.00498859640615714,0.1770019047570898,0.00733522144100594,0.0011070765243652511,0.0036795680563304197,0,0,0,0,1.16025748641551e-4,0.2700983969258262,0.0548915827047868,0.001975831602305583,0.005890391399595978,0.13835177950470648,0.13220036483158282
13C_High-H4_I24,13C,High,H4,I24,0.07334213436346007,0.026532555439982303,0.008165897129762541,0.0010294046012285256,0.21780370349483458,3.6156914582383495e-4,0.050028042274235074,0,0.15951728031147452,0,0.010102400925731192,0.25008699343595414,0.002699815041987641,0,0.1548044756468925,0.16875724560536395,0.027346696019240523,0,0.017781777102033172,0.07770863354567752,0.02591545479940208,0.005909462791995095,0.157825225459352,0.16213249011771416,0.006495222524661764,0.0030386433012560034,0.15385807395100645,0.06755231132973458,0.06907938136814672,0.18747373345775134,0.15942740287312895,0.01911108366643039,0.0028015857774077078,0,0.14774671751511628,0.07548043226746778,0.003599962198680862,0,0.09713074995777012,0.024514835721367756,0.07496140178178844,0.11270029121641431,0.27201760021353116,0.016153919523392124,0.0037314534166720884,0.1278677803769617,0.07902595330104147,0.0340905749717789,2.73923687263934e-4,0.015246838736100716,0.0055683469740797475,0.02166542335584567,0.022476036093620675,0.007818507802062637,0.0030327390178436823,0.03191719015875479,0.0017589739468163819,0.0012641754995254334,0.04435604840203647,0.013359886938741832,0.026842173484387343,0.005739915731089925,0.1464141127895641,0.006196902442767191,0.012222098247603261,0.0019263998541899845,0,5.035859123057683e-4,0,0,9.5530544338368e-5,0.2161984099759419,0.08628942307705852,0.0014702068556653005,0.004588633774627783,0.11370549181680988,0.3223937067741421
