Date,Sample.ID,Chamber.ID,Plate,Temperature,Type,Salinity,Run,Volume,Org.Number,Notes
20211205,1,A1,641,27,Sample,34,1,0.00008,5,
20211205,7,B1,641,27,Sample,34,1,0.00008,5,
20211205,13,C1,641,27,Sample,34,1,0.00008,4,
20211205,19,D1,641,27,Sample,34,1,0.00008,5,
20211205,2,A2,641,27,Sample,34,1,0.00008,5,
20211205,8,B2,641,27,Sample,34,1,0.00008,5,
20211205,14,C2,641,27,Blank,34,1,0.00008,NA,
20211205,20,D2,641,27,Sample,34,1,0.00008,5,
20211205,3,A3,641,27,Sample,34,1,0.00008,5,
20211205,9,B3,641,27,Blank,34,1,0.00008,NA,
20211205,15,C3,641,27,Sample,34,1,0.00008,5,
20211205,21,D3,641,27,Sample,34,1,0.00008,5,
20211205,4,A4,641,27,Sample,34,1,0.00008,5,
20211205,10,B4,641,27,Sample,34,1,0.00008,5,
20211205,16,C4,641,27,Sample,34,1,0.00008,5,
20211205,22,D4,641,27,NA,34,1,0.00008,NA,
20211205,5,A5,641,27,Sample,34,1,0.00008,5,
20211205,11,B5,641,27,Sample,34,1,0.00008,5,
20211205,17,C5,641,27,Sample,34,1,0.00008,5,
20211205,23,D5,641,27,NA,34,1,0.00008,NA,
20211205,6,A6,641,27,NA,34,1,0.00008,NA,
20211205,18,C6,641,27,Sample,34,1,0.00008,5,
20211205,24,D6,641,27,Blank,34,1,0.00008,NA,
20211205,1,A1,710,31,Sample,34,2,0.00008,5,
20211205,7,B1,710,31,Sample,34,2,0.00008,5,
20211205,13,C1,710,31,NA,34,2,0.00008,NA,
20211205,19,D1,710,31,Sample,34,2,0.00008,5,
20211205,2,A2,710,31,Sample,34,2,0.00008,5,
20211205,8,B2,710,31,Sample,34,2,0.00008,5,
20211205,14,C2,710,31,Sample,34,2,0.00008,5,
20211205,20,D2,710,31,Sample,34,2,0.00008,5,
20211205,3,A3,710,31,Blank,34,2,0.00008,NA,
20211205,9,B3,710,31,Sample,34,2,0.00008,5,
20211205,15,C3,710,31,Sample,34,2,0.00008,5,
20211205,21,D3,710,31,Sample,34,2,0.00008,5,
20211205,4,A4,710,31,Sample,34,2,0.00008,5,
20211205,10,B4,710,31,Sample,34,2,0.00008,5,
20211205,16,C4,710,31,Sample,34,2,0.00008,5,
20211205,22,D4,710,31,Sample,34,2,0.00008,5,
20211205,5,A5,710,31,Sample,34,2,0.00008,5,
20211205,11,B5,710,31,NA,34,2,0.00008,NA,
20211205,17,C5,710,31,Sample,34,2,0.00008,5,
20211205,23,D5,710,31,Sample,34,2,0.00008,5,
20211205,6,A6,710,31,Sample,34,2,0.00008,5,
20211205,18,C6,710,31,Sample,34,2,0.00008,5,
20211205,24,D6,710,31,Blank,34,2,0.00008,NA,
20211206,1,A1,641,27,Sample,34,3,0.00008,5,
20211206,7,B1,641,27,Blank,34,3,0.00008,NA,
20211206,13,C1,641,27,Sample,34,3,0.00008,4,
20211206,19,D1,641,27,Sample,34,3,0.00008,5,
20211206,2,A2,641,27,Sample,34,3,0.00008,5,
20211206,8,B2,641,27,Sample,34,3,0.00008,5,
20211206,14,C2,641,27,Sample,34,3,0.00008,5,
20211206,20,D2,641,27,Sample,34,3,0.00008,5,
20211206,3,A3,641,27,Sample,34,3,0.00008,5,
20211206,9,B3,641,27,Sample,34,3,0.00008,5,
20211206,15,C3,641,27,Blank,34,3,0.00008,NA,
20211206,21,D3,641,27,Sample,34,3,0.00008,5,
20211206,4,A4,641,27,Sample,34,3,0.00008,5,
20211206,10,B4,641,27,Sample,34,3,0.00008,5,
20211206,16,C4,641,27,Sample,34,3,0.00008,5,
20211206,22,D4,641,27,Sample,34,3,0.00008,5,
20211206,5,A5,641,27,Sample,34,3,0.00008,5,
20211206,11,B5,641,27,Sample,34,3,0.00008,5,
20211206,17,C5,641,27,Sample,34,3,0.00008,5,
20211206,23,D5,641,27,Blank,34,3,0.00008,NA,
20211206,6,A6,641,27,NA,34,3,0.00008,NA,
20211206,18,C6,641,27,Sample,34,3,0.00008,5,
20211206,24,D6,641,27,Sample,34,3,0.00008,5,
20211206,1,A1,710,31,Sample,34,4,0.00008,5,
20211206,7,B1,710,31,Blank,34,4,0.00008,NA,
20211206,13,C1,710,31,Sample,34,4,0.00008,5,
20211206,19,D1,710,31,Sample,34,4,0.00008,5,
20211206,2,A2,710,31,Sample,34,4,0.00008,5,
20211206,8,B2,710,31,Sample,34,4,0.00008,5,
20211206,14,C2,710,31,Sample,34,4,0.00008,5,
20211206,20,D2,710,31,Sample,34,4,0.00008,5,
20211206,3,A3,710,31,Blank,34,4,0.00008,NA,
20211206,9,B3,710,31,Sample,34,4,0.00008,5,
20211206,15,C3,710,31,Blank,34,4,0.00008,NA,
20211206,21,D3,710,31,Sample,34,4,0.00008,5,
20211206,4,A4,710,31,Sample,34,4,0.00008,5,
20211206,10,B4,710,31,Sample,34,4,0.00008,5,
20211206,16,C4,710,31,Sample,34,4,0.00008,5,
20211206,22,D4,710,31,Sample,34,4,0.00008,5,
20211206,5,A5,710,31,Sample,34,4,0.00008,5,
20211206,11,B5,710,31,NA,34,4,0.00008,NA,
20211206,17,C5,710,31,Sample,34,4,0.00008,5,
20211206,23,D5,710,31,Sample,34,4,0.00008,5,
20211206,6,A6,710,31,Sample,34,4,0.00008,5,
20211206,18,C6,710,31,Sample,34,4,0.00008,5,
20211206,24,D6,710,31,Sample,34,4,0.00008,5,
20211206,1,A1,641,27,Sample,34,5,0.00008,5,
20211206,7,B1,641,27,Sample,34,5,0.00008,5,
20211206,13,C1,641,27,Sample,34,5,0.00008,5,
20211206,19,D1,641,27,Sample,34,5,0.00008,5,
20211206,2,A2,641,27,Sample,34,5,0.00008,5,
20211206,8,B2,641,27,Blank,34,5,0.00008,NA,
20211206,14,C2,641,27,Sample,34,5,0.00008,5,
20211206,20,D2,641,27,Sample,34,5,0.00008,5,
20211206,3,A3,641,27,Blank,34,5,0.00008,NA,
20211206,9,B3,641,27,Sample,34,5,0.00008,5,
20211206,15,C3,641,27,Sample,34,5,0.00008,5,
20211206,21,D3,641,27,Sample,34,5,0.00008,5,
20211206,4,A4,641,27,Sample,34,5,0.00008,5,
20211206,10,B4,641,27,Sample,34,5,0.00008,5,
20211206,16,C4,641,27,Sample,34,5,0.00008,5,
20211206,22,D4,641,27,Sample,34,5,0.00008,5,
20211206,5,A5,641,27,Sample,34,5,0.00008,5,
20211206,11,B5,641,27,Sample,34,5,0.00008,5,
20211206,17,C5,641,27,Sample,34,5,0.00008,5,
20211206,23,D5,641,27,Blank,34,5,0.00008,NA,
20211206,6,A6,641,27,NA,34,5,0.00008,NA,
20211206,18,C6,641,27,Sample,34,5,0.00008,5,
20211206,24,D6,641,27,Sample,34,5,0.00008,5,
20211206,1,A1,710,31,Sample,34,6,0.00008,5,
20211206,7,B1,710,31,Sample,34,6,0.00008,5,
20211206,13,C1,710,31,Sample,34,6,0.00008,5,
20211206,19,D1,710,31,Sample,34,6,0.00008,5,
20211206,2,A2,710,31,Blank,34,6,0.00008,NA,
20211206,8,B2,710,31,Sample,34,6,0.00008,5,
20211206,14,C2,710,31,Sample,34,6,0.00008,5,
20211206,20,D2,710,31,Sample,34,6,0.00008,5,
20211206,3,A3,710,31,Sample,34,6,0.00008,5,
20211206,9,B3,710,31,Sample,34,6,0.00008,5,
20211206,15,C3,710,31,Blank,34,6,0.00008,NA,
20211206,21,D3,710,31,Sample,34,6,0.00008,5,
20211206,4,A4,710,31,Sample,34,6,0.00008,5,
20211206,10,B4,710,31,Sample,34,6,0.00008,5,
20211206,16,C4,710,31,Sample,34,6,0.00008,5,
20211206,22,D4,710,31,Sample,34,6,0.00008,5,
20211206,5,A5,710,31,Sample,34,6,0.00008,5,
20211206,11,B5,710,31,NA,34,6,0.00008,NA,
20211206,17,C5,710,31,Sample,34,6,0.00008,5,
20211206,23,D5,710,31,Sample,34,6,0.00008,5,
20211206,6,A6,710,31,Sample,34,6,0.00008,5,
20211206,18,C6,710,31,Sample,34,6,0.00008,5,
20211206,24,D6,710,31,Blank,34,6,0.00008,NA,
20211207,1,A1,641,27,Sample,34,7,0.00008,5,
20211207,7,B1,641,27,Sample,34,7,0.00008,5,
20211207,13,C1,641,27,Sample,34,7,0.00008,4,
20211207,19,D1,641,27,Sample,34,7,0.00008,5,
20211207,2,A2,641,27,Sample,34,7,0.00008,5,
20211207,8,B2,641,27,Blank,34,7,0.00008,NA,
20211207,14,C2,641,27,Sample,34,7,0.00008,5,
20211207,20,D2,641,27,Sample,34,7,0.00008,5,
20211207,3,A3,641,27,Sample,34,7,0.00008,5,
20211207,9,B3,641,27,Sample,34,7,0.00008,5,
20211207,15,C3,641,27,Blank,34,7,0.00008,NA,
20211207,21,D3,641,27,Sample,34,7,0.00008,5,
20211207,4,A4,641,27,Sample,34,7,0.00008,5,
20211207,10,B4,641,27,Sample,34,7,0.00008,5,
20211207,16,C4,641,27,Sample,34,7,0.00008,5,
20211207,22,D4,641,27,Sample,34,7,0.00008,5,
20211207,5,A5,641,27,Sample,34,7,0.00008,5,
20211207,11,B5,641,27,Sample,34,7,0.00008,5,
20211207,17,C5,641,27,Sample,34,7,0.00008,5,
20211207,23,D5,641,27,Blank,34,7,0.00008,NA,
20211207,6,A6,641,27,NA,34,7,0.00008,NA,
20211207,18,C6,641,27,Sample,34,7,0.00008,5,
20211207,24,D6,641,27,Sample,34,7,0.00008,5,
20211207,1,A1,710,34,Sample,34,8,0.00008,5,
20211207,7,B1,710,34,Sample,34,8,0.00008,5,
20211207,13,C1,710,34,Sample,34,8,0.00008,5,
20211207,19,D1,710,34,Sample,34,8,0.00008,5,
20211207,2,A2,710,34,Sample,34,8,0.00008,5,
20211207,8,B2,710,34,Blank,34,8,0.00008,NA,
20211207,14,C2,710,34,Sample,34,8,0.00008,5,
