Measurement Name :,Plate3_20211207_PR_27C,,Generated On :,"07/12/2021, 12:38:28",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"07/12/2021, 12:03:05",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"07/12/2021, 12:38:17",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
07.12.21 12:03:07,0.03,149.87,186.02,176.79,94.67,170.91,173.84,179.16,222.03,184.52,187.22,188.72,122.64,170.62,163.63,184.22,129.2,165.08,172.08,157,169.45,208.57,177.09,154.99,,,27,965,34,27.93,
07.12.21 12:03:22,0.28,172.08,181.54,184.82,108.37,165.08,162.47,189.32,201.17,194.46,164.79,191.13,130.86,165.37,170.03,201.78,143.1,172.67,178.57,139.18,178.27,205.78,197.2,156.14,,,27,965,34,27.74,
07.12.21 12:03:37,0.53,157.57,190.53,165.37,120.47,165.37,161.31,193.55,193.55,177.38,183.03,189.62,138.62,175.32,157.57,199.64,123.18,171.2,178.57,175.32,170.03,207.95,184.52,153.28,,,27,965,34,27.65,
07.12.21 12:03:52,0.78,145.06,172.96,187.22,124.27,183.03,166.53,190.53,213.54,194.16,184.52,190.83,136.67,172.08,171.2,198.11,128.93,162.18,184.52,172.08,162.47,209.19,193.55,171.2,,,27,965,34,27.61,
07.12.21 12:04:07,1.03,170.32,203.63,201.17,109.97,189.62,195.67,187.82,213.54,194.76,193.25,189.02,142.25,180.94,178.57,211.98,128.93,172.38,187.22,172.96,169.15,213.54,201.17,153.28,,,27,965,34,27.58,965D6-(E1);
07.12.21 12:04:22,1.28,180.94,197.81,196.28,118.3,190.83,185.12,195.07,209.19,213.85,189.32,203.93,142.81,176.2,182.43,211.67,147.04,183.62,180.65,174.73,181.24,213.54,205.78,170.32,,,27,965,34,27.58,
07.12.21 12:04:37,1.53,176.79,196.59,200.86,133.62,192.94,189.92,194.46,185.42,198.42,175.02,185.12,137.5,180.35,180.35,207.33,143.94,190.22,178.57,163.34,170.62,208.57,203.63,166.53,,,27,965,34,27.6,
07.12.21 12:04:52,1.78,187.22,196.89,183.03,102.28,181.54,189.32,201.48,197.5,204.86,188.72,184.22,141.41,187.52,170.91,218.24,110.51,183.62,179.16,163.63,183.62,218.24,199.33,178.27,,,27,965,34,27.6,
07.12.21 12:05:07,2.03,186.32,217.3,194.16,124.27,184.82,192.34,195.98,195.07,181.24,187.82,192.94,134.73,190.22,165.37,217.61,138.62,171.79,188.12,170.62,175.91,215.73,202.7,180.65,,,27,965,34,27.61,965D6-(E1);
07.12.21 12:05:22,2.28,198.11,190.22,196.28,126.73,193.85,180.05,189.02,215.11,191.43,183.62,189.32,131.68,178.27,191.13,213.85,150.72,172.08,186.02,170.03,163.63,210.43,208.57,178.57,,,27,965,34,27.65,
07.12.21 12:05:37,2.53,172.08,202.7,177.38,116.95,182.73,195.07,193.25,221.71,195.37,191.73,200.25,151,190.22,181.24,208.88,149.02,189.32,190.83,183.62,175.02,214.48,211.05,182.73,,,27,965,34,27.68,
07.12.21 12:05:52,2.78,205.47,207.02,219.82,132.23,198.11,212.29,202.4,209.5,193.55,209.81,206.71,137.78,198.42,184.22,224.56,145.06,182.13,195.37,179.46,179.75,212.92,202.09,185.42,,,27,965,34,27.71,
07.12.21 12:06:07,3.03,194.76,185.12,200.86,128.38,205.78,181.84,203.63,225.51,194.46,189.62,185.72,139.46,185.72,171.79,205.78,132.23,182.73,189.32,170.91,170.32,215.11,205.78,171.5,,,27,965,34,27.72,
07.12.21 12:06:22,3.28,206.4,207.95,194.16,132.79,205.78,195.98,190.22,228.7,210.43,189.02,197.81,145.35,183.03,184.52,221.08,142.25,195.67,200.25,171.79,183.62,224.88,213.85,182.43,,,27,965,34,27.76,
07.12.21 12:06:37,3.53,203.01,215.73,227.74,136.11,192.34,192.34,211.05,224.88,209.19,191.43,202.7,155.85,187.22,192.04,220.76,137.78,202.7,204.24,167.7,191.43,219.19,215.42,185.42,,,27,965,34,27.78,
07.12.21 12:06:52,3.78,179.75,194.76,187.52,104.13,184.82,195.67,186.02,206.71,201.48,194.46,213.54,155.57,192.04,178.57,215.73,133.62,188.72,182.13,150.15,188.72,223.93,209.81,170.91,,,27,965,34,27.79,
