Measurement Name :,Plate6_20211204_TPC_32C,,Generated On :,"04/12/2021, 18:18:37",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
Start Date/Time:,"04/12/2021, 17:54:29",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"04/12/2021, 18:18:01",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
04.12.21 17:54:31,0.03,155.02,165.33,16.08,155.79,149.93,156.3,117.47,134.45,12.71,147.41,135.19,96.15,139.4,159.12,140.89,12.91,128.82,152.72,140.64,12.71,148.67,113.66,144.39,,32,965,34,28.99,
04.12.21 17:54:47,0.3,157.58,165.85,16.67,155.02,148.92,153.74,118.43,132.24,12.91,147.91,135.68,96.15,139.65,159.64,141.39,13.3,124.93,154,141.89,12.71,148.92,115.33,145.65,,32,965,34,29.03,
04.12.21 17:55:02,0.55,157.58,166.11,16.27,154.76,150.44,153.49,117.23,131.99,12.91,148.16,135.68,95.69,139.65,160.15,143.39,13.7,120.59,155.27,142.14,12.71,149.43,114.85,144.64,,32,965,34,29.06,
04.12.21 17:55:17,0.8,157.07,166.63,16.67,157.84,147.91,152.98,116.52,132.49,13.5,150.44,136.18,95.69,141.14,160.67,142.39,14.09,120.83,157.07,142.89,13.5,149.68,111.06,144.14,,32,965,34,29.08,
04.12.21 17:55:32,1.05,157.07,167.16,16.87,157.32,147.41,153.23,115.09,132.73,13.5,150.44,136.92,95.23,141.14,161.18,145.14,13.5,118.19,156.81,142.39,14.29,152.98,111.77,144.14,,32,965,34,29.1,
04.12.21 17:55:47,1.3,157.58,167.42,16.67,157.32,149.43,153.74,115.09,132.49,13.5,150.44,136.92,95.23,141.64,161.7,143.39,13.5,114.14,155.79,148.16,13.7,150.44,112.95,143.64,,32,965,34,29.11,
04.12.21 17:56:02,1.55,157.07,167.16,17.27,156.3,148.16,154,114.85,132.49,13.89,150.69,136.67,95,141.89,161.96,143.39,15.28,113.43,152.72,146.65,13.7,150.19,111.3,142.64,,32,965,34,29.13,
04.12.21 17:56:17,1.8,157.07,167.68,17.07,156.55,145.65,154.25,114.85,132.73,13.89,149.68,136.67,94.54,142.89,162.99,143.64,15.08,112.72,151.2,143.64,13.7,149.93,109.41,143.14,,32,965,34,29.16,
04.12.21 17:56:32,2.05,156.55,167.94,17.47,156.3,144.14,154.51,114.14,132.98,14.29,149.43,136.67,94.77,143.64,163.25,143.64,13.89,111.77,152.22,141.64,13.5,149.68,110.12,143.39,,32,965,34,29.17,
04.12.21 17:56:47,2.3,155.02,167.68,17.07,156.04,144.89,154.25,111.3,133.22,14.29,148.67,135.68,94.31,143.14,163.25,143.64,14.29,105.66,151.71,141.64,13.7,149.43,112.48,142.39,,32,965,34,29.2,
04.12.21 17:57:02,2.55,156.04,168.2,17.47,155.02,140.39,158.09,110.12,133.22,14.09,151.45,136.43,93.86,142.14,163.25,143.64,14.29,104.49,155.27,141.14,13.89,149.43,108.47,141.14,,32,965,34,29.21,
04.12.21 17:57:17,2.8,156.04,167.94,17.27,154.76,139.4,158.35,108,133.71,14.09,148.92,137.66,93.63,144.14,163.51,144.14,14.29,102.16,155.53,140.89,13.5,149.43,108.23,139.15,,32,965,34,29.23,
04.12.21 17:57:32,3.05,154.51,168.46,17.67,154.51,136.67,157.84,106.59,133.71,14.49,148.67,135.44,93.63,144.39,164.29,143.89,14.49,101.23,154.76,140.39,14.09,149.68,104.95,137.91,,32,965,34,29.24,
04.12.21 17:57:47,3.3,153.74,168.72,17.47,154,134.7,157.32,104.72,133.96,14.69,147.41,135.19,93.4,142.89,164.55,143.14,14.49,95.23,152.98,134.7,13.89,154.51,102.16,137.42,,32,965,34,29.27,
04.12.21 17:58:02,3.55,153.23,168.99,17.47,154,134.7,152.47,102.16,133.96,14.69,145.9,134.7,93.17,142.64,164.55,143.14,14.69,91.12,152.22,132.24,13.89,155.27,98.45,136.67,,32,965,34,29.28,
04.12.21 17:58:17,3.8,152.72,168.46,17.67,152.72,133.71,150.44,98.92,133.96,14.69,145.39,133.71,92.26,141.89,164.55,143.39,16.27,88.84,148.42,129.55,14.09,154.51,93.4,136.92,,32,965,34,29.3,
04.12.21 17:58:32,4.05,152.98,168.72,17.87,152.98,136.43,149.43,95,134.21,15.08,144.89,134.21,92.26,142.14,164.81,144.14,15.28,84.32,147.66,127.6,14.29,149.43,90.43,134.21,,32,965,34,29.31,
04.12.21 17:58:47,4.3,151.96,169.25,17.87,151.71,131.75,148.67,92.71,134.45,15.08,146.15,131.99,92.03,142.64,165.33,144.64,14.88,78.28,144.14,128.33,14.69,147.41,87.71,135.93,,32,965,34,29.34,
04.12.21 17:59:02,4.55,150.95,168.99,18.07,149.43,132.49,148.67,91.12,136.43,14.69,144.89,131.5,91.57,141.89,165.33,143.64,14.49,76.06,143.39,131.26,14.49,147.66,87.71,132.24,,32,965,34,29.35,
