Measurement Name :,20211208_RunA_Pacu_710_28C,,Generated On :,"08/12/2021, 17:19:55",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"08/12/2021, 16:58:38",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"08/12/2021, 17:19:04",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
08.12.21 16:58:40,0.03,244.23,235.48,202.81,236.57,220.75,219.68,216.14,214.72,202.11,227.18,235.48,227.18,205.25,211.55,231.5,215.08,232.58,245.33,232.94,214.37,205.95,213.31,208.39,,,28,965,0,28.21,
08.12.21 16:58:55,0.28,245.69,235.11,203.51,236.2,221.11,220.04,216.85,214.72,202.46,228.26,236.93,227.54,204.2,211.55,231.86,215.78,233.67,246.06,234.03,214.02,205.6,213.31,209.09,,,28,965,0,28.21,
08.12.21 16:59:11,0.55,246.06,234.75,202.81,236.2,220.04,220.04,217.2,214.72,201.42,227.54,237.66,227.54,205.6,211.55,231.86,215.08,234.03,246.8,234.75,212.26,205.95,211.55,208.04,,,28,965,0,28.21,
08.12.21 16:59:26,0.8,247.16,235.84,201.77,236.2,220.75,220.4,216.85,214.37,201.42,228.26,238.38,227.54,204.55,212.26,232.94,215.08,234.03,247.9,235.48,211.2,204.9,212.26,207.69,,,28,965,0,28.2,
08.12.21 16:59:41,1.05,247.16,235.84,198.99,235.84,219.68,220.4,216.49,214.72,200.38,228.62,238.75,227.9,203.51,211.9,232.94,214.72,234.75,248.27,235.84,209.45,203.16,212.61,206.99,,,28,965,0,28.21,
08.12.21 16:59:56,1.3,247.53,235.84,197.95,235.84,218.97,220.04,216.14,214.37,200.03,228.98,239.11,227.9,200.03,211.2,232.94,214.02,234.75,249.01,236.2,209.09,201.77,213.67,206.99,,,28,965,0,28.21,
08.12.21 17:00:11,1.55,247.53,234.75,195.88,235.11,217.2,219.33,215.43,213.67,198.65,228.62,239.48,227.18,199.34,210.15,232.58,214.02,232.22,248.64,235.84,208.39,200.03,213.67,206.3,,,28,965,0,28.21,
08.12.21 17:00:26,1.8,248.27,235.11,193.47,235.11,216.49,220.04,216.14,214.37,197.95,229.34,240.93,227.54,200.03,209.8,234.03,214.02,231.86,250.11,236.93,208.04,197.95,213.31,206.64,,,28,965,0,28.21,
08.12.21 17:00:41,2.05,248.27,235.48,191.41,234.39,214.02,218.97,215.08,213.31,196.57,228.26,240.57,226.82,198.65,209.09,233.31,212.61,230.06,250.11,237.66,206.3,195.88,210.85,205.25,,,28,965,0,28.21,
08.12.21 17:00:56,2.3,247.9,235.11,189.7,234.75,213.31,218.62,215.08,212.61,193.82,229.34,240.93,226.82,198.65,209.09,234.39,213.31,228.62,250.85,237.29,205.25,194.51,210.5,204.9,,,28,965,0,28.21,
08.12.21 17:01:11,2.55,248.64,234.39,188.68,234.03,210.15,218.97,214.72,212.61,191.76,228.98,241.3,225.75,198.3,208.04,234.39,212.61,227.9,251.59,237.29,205.25,194.85,210.5,204.2,,,28,965,0,28.2,
08.12.21 17:01:26,2.8,248.27,234.03,187.99,233.31,208.74,218.62,214.72,211.9,192.1,228.98,241.3,225.75,197.95,207.69,234.39,211.9,226.82,251.96,237.29,204.2,193.13,210.15,203.16,,,28,965,0,28.2,
08.12.21 17:01:41,3.05,248.27,234.03,188.34,232.58,206.99,217.91,214.02,211.2,192.79,228.62,241.66,225.03,197.26,206.99,233.67,210.85,226.82,251.96,237.29,203.85,192.79,210.5,202.46,,,28,965,0,28.19,
08.12.21 17:01:56,3.3,249.74,234.39,189.7,231.5,207.69,218.62,213.31,210.85,192.79,228.62,241.66,225.03,200.03,206.64,234.03,209.8,226.47,251.59,236.57,203.16,193.13,209.8,202.46,,,28,965,0,28.19,
08.12.21 17:02:11,3.55,249.38,232.94,188.68,231.14,203.16,217.56,212.96,210.15,192.79,228.98,241.3,224.32,196.57,205.6,234.03,209.45,225.39,251.96,235.84,202.11,194.16,209.45,201.77,,,28,965,0,28.19,
08.12.21 17:02:26,3.8,249.38,233.31,186.63,231.14,202.11,217.2,212.96,209.45,192.1,228.98,242.03,224.32,195.88,204.9,234.03,209.09,226.11,251.96,234.75,201.77,192.1,209.09,201.42,,,28,965,0,28.19,
08.12.21 17:02:41,4.05,250.11,233.67,184.93,229.7,202.11,216.49,212.61,209.09,190.39,228.98,242.03,223.96,196.23,203.85,233.67,208.74,226.11,252.7,234.75,202.11,192.1,210.15,200.72,,,28,965,0,28.19,
08.12.21 17:02:56,4.3,249.01,232.58,182.21,228.98,201.07,215.78,212.61,208.04,187.99,228.26,241.66,222.89,195.88,203.16,232.94,207.34,225.03,252.33,234.03,201.42,192.79,209.45,199.34,,,28,965,0,28.19,
08.12.21 17:03:11,4.55,249.01,232.22,180.52,228.98,200.72,215.78,212.26,207.69,189.02,227.9,241.66,222.53,195.54,201.77,233.67,207.34,225.75,252.33,234.03,201.07,190.73,209.8,198.65,,,28,965,0,28.19,
08.12.21 17:03:26,4.8,249.38,232.58,178.16,228.62,201.42,216.14,212.61,207.69,186.97,227.54,242.4,222.18,195.19,201.42,232.94,206.64,225.03,252.7,234.39,201.07,192.1,209.09,198.3,,,28,965,0,28.19,
08.12.21 17:03:41,5.05,249.01,231.5,176.48,227.54,198.99,215.08,211.55,206.3,184.25,227.54,242.4,221.11,194.51,200.38,232.58,205.6,225.03,252.7,234.03,200.38,186.97,208.74,196.23,,,28,965,0,28.2,
08.12.21 17:03:56,5.3,249.38,230.42,175.13,227.18,197.95,214.37,210.15,205.6,183.57,227.9,242.76,221.11,194.85,199.68,231.86,205.6,225.03,252.7,234.03,199.68,186.63,208.74,195.88,,,28,965,0,28.2,
08.12.21 17:04:11,5.55,248.64,230.42,173.45,226.11,196.92,213.31,209.8,204.55,183.23,226.82,242.4,220.04,194.51,198.3,231.14,204.9,224.32,253.07,234.03,200.03,185.61,209.09,195.54,,,28,965,0,28.17,
