Measurement Name :,20211208_RunC_Pacu_710_36C,,Generated On :,"08/12/2021, 16:28:56",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"08/12/2021, 16:07:29",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"08/12/2021, 16:27:44",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
08.12.21 16:07:31,0.03,169.67,158.92,163.99,173.96,162.86,143.14,158.08,146.7,142.04,142.86,164.27,162.3,140.41,157.24,148.91,150.29,151.39,163.14,162.58,120.32,158.08,154.73,156.96,,,36,965,0,34.06,
08.12.21 16:07:46,0.28,176.84,164.56,169.1,179.45,169.1,146.7,158.92,150.29,146.15,146.7,168.81,167.11,145.88,161.45,152.78,156.4,156.4,168.53,166.82,121.9,161.45,160.04,163.71,,,36,965,0,33.3,
08.12.21 16:08:01,0.53,182.64,170.24,173.68,184.39,173.96,149.18,162.01,153.34,150.56,149.46,171.96,170.53,150.29,164.56,156.96,160.61,161.45,172.53,170.53,121.64,165.97,165.69,168.53,,,36,965,0,32.81,
08.12.21 16:08:16,0.78,187.61,174.25,177.13,188.5,177.71,151.12,165.4,155.56,151.39,152.23,175.69,173.68,153.89,167.96,159.76,163.71,165.4,176.84,174.83,120.85,170.24,169.1,172.82,,,36,965,0,32.5,
08.12.21 16:08:31,1.03,191.44,177.13,179.45,191.44,180.32,152.5,166.26,158.08,152.5,153.89,178.29,176.27,156.4,170.53,162.3,171.67,167.68,179.45,175.98,120.06,173.68,171.38,176.27,,,36,965,0,32.31,
08.12.21 16:08:46,1.28,195.29,180.9,182.64,195,182.93,152.78,169.1,159.48,157.52,156.68,180.9,178.58,158.64,171.67,165.69,167.68,172.82,183.23,182.06,120.85,177.42,171.38,179.74,,,36,965,0,32.19,
08.12.21 16:09:01,1.53,198.57,182.06,184.69,197.08,187.61,153.89,170.81,160.89,157.52,158.64,183.52,180.32,160.32,173.39,166.54,168.53,176.27,185.86,182.64,121.11,180.03,173.1,182.64,,,36,965,0,32.11,
08.12.21 16:09:16,1.78,200.97,184.98,186.44,197.68,186.15,153.89,172.82,161.45,155.84,159.76,184.69,182.06,161.45,174.83,167.39,169.1,173.96,189.08,183.52,121.11,181.77,174.25,184.69,,,36,965,0,32.08,
08.12.21 16:09:31,2.03,203.07,187.32,188.5,200.07,187.32,153.61,173.68,162.3,156.96,161.45,187.61,182.93,162.3,177.13,167.68,171.67,175.11,190.85,183.81,118.74,183.52,175.4,185.86,,,36,965,0,32.05,
08.12.21 16:09:46,2.28,206.39,188.5,189.67,200.97,189.08,154.17,175.4,163.14,157.52,163.42,189.97,184.98,163.14,178.87,168.24,175.69,176.84,193.81,185.27,120.32,185.27,176.56,187.61,,,36,965,0,32.05,
08.12.21 16:10:01,2.53,206.99,189.67,189.97,201.57,189.08,155.29,176.56,162.58,157.8,164.84,191.15,185.86,163.42,179.74,167.96,176.56,177.13,195.29,186.15,119.53,186.15,177.71,188.79,,,36,965,0,32.03,
08.12.21 16:10:16,2.78,208.51,190.26,191.15,202.17,190.85,156.68,177.71,162.58,158.92,165.4,192.33,186.44,164.27,180.61,167.96,175.98,178.29,197.38,187.91,114.81,187.61,178.58,189.97,,,36,965,0,32.06,
